ticker,repo,tier,corp_commits,total_commits,corp_ratio,months_active,density_months,N1a,N1b,N2,N3,sample_phi,N4,all_pass,fail_reason,oss_exception,selected
AMZN,aws-samples/sample-r-server,2.0,0,40,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
AMZN,aws-samples/sample-bedrock-proxy-gateway,2.0,3,29,0.1034,1,0,False,False,False,False,,,False,N1a(corp=3),False,False
AMZN,aws/csi-components,1.0,82,89,0.9213,8,7,False,False,False,True,,,False,N1a(corp=82),False,False
AMZN,aws/aws-xray-sdk-node,1.0,139,511,0.272,50,15,False,False,True,True,,,False,N1a(corp=139),False,False
AMZN,aws-samples/multichannel-app-to-person-alerting,2.0,0,4,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
AMZN,aws/firelens-datajet,1.0,148,187,0.7914,36,17,False,False,False,True,,,False,N1a(corp=148),False,False
AMZN,aws-samples/sample-once-upon-spring-ai,2.0,0,19,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
AMZN,awslabs/duvet,1.0,14,100,0.14,21,0,False,False,False,False,,,False,N1a(corp=14),False,False
AMZN,aws/aws-crt-kotlin,1.0,149,254,0.5866,51,13,False,False,True,True,,,False,N1a(corp=149),False,False
AMZN,aws/aws-cli,1.0,6084,7233,0.8411,87,87,True,True,True,True,0.325,True,True,,False,True
AMZN,aws-samples/amazon-ivs-real-time-for-web-demo,2.0,7,53,0.1321,9,0,False,False,False,False,,,False,N1a(corp=7),False,False
AMZN,aws-samples/amazon-transcribe-live-meeting-assistant,2.0,1448,1513,0.957,26,23,True,False,False,True,,,False,N1b(density_months=23),False,False
AMZN,aws/amazon-ecs-ami,1.0,259,593,0.4368,53,31,True,False,True,True,,,False,N1b(density_months=31),False,False
AMZN,awslabs/aws-cloudsaga,1.0,23,42,0.5476,3,3,False,False,False,True,,,False,N1a(corp=23),False,False
AMZN,aws/eks-distro,1.0,1650,3952,0.4175,65,65,True,True,True,True,0.87,True,True,,False,False
AMZN,awslabs/LISA,1.0,929,1053,0.8822,23,23,True,False,False,True,,,False,N1b(density_months=23),False,False
AMZN,awslabs/mcp,1.0,175,1427,0.1226,12,12,False,False,False,False,,,False,N1a(corp=175),False,False
AMZN,awslabs/aws-lambda-powertools-python,1.0,495,5775,0.0857,54,33,True,False,True,False,,,False,N1b(density_months=33),False,False
AMZN,awslabs/aurora-dsql-connectors,1.0,104,880,0.1182,7,6,False,False,False,False,,,False,N1a(corp=104),False,False
AMZN,aws-samples/sample-e2b-on-aws,2.0,19,67,0.2836,11,0,False,False,False,True,,,False,N1a(corp=19),False,False
AMZN,aws/aws-tools-for-powershell,1.0,1329,1634,0.8133,76,56,True,True,True,True,0.06,True,True,,False,False
AMZN,awslabs/cli-agent-orchestrator,1.0,5,75,0.0667,2,0,False,False,False,False,,,False,N1a(corp=5),False,False
AMZN,aws-samples/aws-customer-playbook-framework,2.0,1,103,0.0097,3,0,False,False,False,False,,,False,N1a(corp=1),False,False
AMZN,aws/sagemaker-distribution,1.0,620,1475,0.4203,34,19,True,False,False,True,,,False,N1b(density_months=19),False,False
AMZN,aws/eks-node-monitoring-agent,1.0,58,109,0.5321,13,3,False,False,False,True,,,False,N1a(corp=58),False,False
AMZN,awslabs/aws-sdk-swift,1.0,1433,2163,0.6625,66,57,True,True,True,True,0.38,True,True,,False,False
AMZN,aws-samples/sample-agent2agent-trivia-night,2.0,130,131,0.9924,2,1,False,False,False,True,,,False,N1a(corp=130),False,False
AMZN,awslabs/palace,1.0,1931,2187,0.8829,40,39,True,False,False,True,,,False,N1b(density_months=39),False,False
AMZN,aws-samples/sample-kolya-br-proxy,2.0,46,52,0.8846,1,1,False,False,False,True,,,False,N1a(corp=46),False,False
AMZN,awslabs/serverless-application-model,1.0,284,1756,0.1617,64,30,True,False,True,True,,,False,N1b(density_months=30),False,False
AMZN,aws-samples/aws-reinvent-trivia-game,2.0,186,1917,0.097,64,18,False,False,True,False,,,False,N1a(corp=186),False,False
AMZN,aws-samples/sample-blaize-bazaar-agentic-search-apg,2.0,314,321,0.9782,7,6,True,False,False,True,,,False,N1b(density_months=6),False,False
