month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,121,0.0909,0.4073,0.5927,6.52,-1.2366,False,11,121
2019-02,267,0.0899,0.512,0.488,11.7131,-1.035,False,24,267
2019-03,495,0.1131,0.5405,0.4595,25.7313,-0.4907,False,56,495
2019-04,469,0.1066,0.5555,0.4445,22.2267,-0.6268,False,50,469
2019-05,464,0.1142,0.5728,0.4272,22.6416,-0.6107,False,53,464
2019-06,396,0.0631,0.5979,0.4021,10.0527,-1.0995,False,25,396
2019-07,490,0.0714,0.5419,0.4581,16.0338,-0.8672,False,35,490
2019-08,524,0.0725,0.5935,0.4065,15.4487,-0.89,False,38,524
2019-09,519,0.0983,0.6346,0.3654,18.6351,-0.7662,False,51,519
2019-10,594,0.1044,0.6709,0.3291,20.4018,-0.6977,False,62,594
2019-11,592,0.1047,0.6862,0.3138,19.4549,-0.7344,False,62,592
2019-12,600,0.0883,0.7276,0.2724,14.4394,-0.9291,False,53,600
2020-01,604,0.0911,0.7319,0.2681,14.7474,-0.9172,False,55,604
2020-02,676,0.0917,0.7161,0.2839,17.6034,-0.8063,False,62,676
2020-03,721,0.0999,0.7166,0.2834,20.4065,-0.6975,False,72,721
2020-04,712,0.111,0.6323,0.3677,29.045,-0.3621,False,79,712
2020-05,621,0.132,0.6452,0.3548,29.0946,-0.3602,False,82,621
2020-06,625,0.1392,0.5813,0.4187,36.431,-0.0753,False,87,625
2020-07,610,0.118,0.6535,0.3465,24.9475,-0.5212,False,72,610
2020-08,620,0.1161,0.6963,0.3037,21.8651,-0.6408,False,72,620
2020-09,608,0.1234,0.7522,0.2478,18.5832,-0.7683,False,75,608
2020-10,550,0.1345,0.7182,0.2818,20.855,-0.6801,False,74,550
2020-11,497,0.1247,0.7257,0.2743,17.0061,-0.8295,False,62,497
2020-12,473,0.1226,0.7319,0.2681,15.552,-0.8859,False,58,473
2021-01,561,0.1123,0.7552,0.2448,15.4208,-0.891,False,63,561
2021-02,622,0.1254,0.822,0.178,13.8807,-0.9508,False,78,622
2021-03,712,0.1264,0.8237,0.1763,15.8667,-0.8737,False,90,712
2021-04,738,0.1125,0.8355,0.1645,13.6575,-0.9595,False,83,738
2021-05,725,0.1034,0.7624,0.2376,17.8234,-0.7978,False,75,725
2021-06,652,0.0813,0.7469,0.2531,13.4152,-0.9689,False,53,652
2021-07,604,0.0993,0.7517,0.2483,14.8988,-0.9113,False,60,604
2021-08,620,0.0839,0.831,0.169,8.7902,-1.1485,False,52,620
2021-09,733,0.1091,0.6701,0.3299,26.3945,-0.465,False,80,733
2021-10,851,0.1058,0.4604,0.5396,48.5663,0.3958,False,90,851
2021-11,913,0.1095,0.516,0.484,48.3973,0.3892,False,100,913
