month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2020-10,50,0.08,0.5803,0.4197,1.6789,-0.8206,False,4,50
2020-11,71,0.0704,0.5304,0.4696,2.3482,-0.7848,False,5,71
2020-12,87,0.1379,0.6014,0.3986,4.7833,-0.6542,False,12,87
2021-01,79,0.1899,0.7088,0.2912,4.3678,-0.6765,False,15,79
2021-02,105,0.1905,0.8079,0.1921,3.8421,-0.7047,False,20,105
2021-03,113,0.1239,0.8205,0.1795,2.5131,-0.7759,False,14,113
2021-04,137,0.0876,0.7948,0.2052,2.4621,-0.7787,False,12,137
2021-05,136,0.1618,0.6399,0.3601,7.9216,-0.4859,False,22,136
2021-06,148,0.1757,0.5893,0.4107,10.6775,-0.3382,False,26,148
2021-07,127,0.1969,0.5183,0.4817,12.0431,-0.2649,False,25,127
2021-08,113,0.1239,0.3811,0.6189,8.6641,-0.4461,False,14,113
2021-09,111,0.1351,0.3756,0.6244,9.3658,-0.4085,False,15,111
2021-10,98,0.1429,0.3339,0.6661,9.3254,-0.4107,False,14,98
2021-11,92,0.1522,0.4635,0.5365,7.5111,-0.5079,False,14,92
2021-12,70,0.0857,0.5645,0.4355,2.6131,-0.7706,False,6,70
2022-01,88,0.1136,0.6077,0.3923,3.9227,-0.7003,False,10,88
2022-02,96,0.1146,0.48,0.52,5.7205,-0.6039,False,11,96
2022-03,114,0.1316,0.4805,0.5195,7.7932,-0.4928,False,15,114
2022-04,121,0.1074,0.5492,0.4508,5.8609,-0.5964,False,13,121
2022-05,106,0.1132,0.4599,0.5401,6.4817,-0.5631,False,12,106
2022-06,98,0.0918,0.6413,0.3587,3.2283,-0.7376,False,9,98
2022-07,92,0.1304,0.6902,0.3098,3.7175,-0.7113,False,12,92
2022-08,106,0.1321,0.6535,0.3465,4.8504,-0.6506,False,14,106
2022-09,146,0.1438,0.4665,0.5335,11.2025,-0.31,False,21,146
2022-10,173,0.1445,0.2956,0.7044,17.61,0.0336,False,25,173
2022-11,182,0.1374,0.4377,0.5623,14.0587,-0.1569,False,25,182
2022-12,140,0.1357,0.5353,0.4647,8.8287,-0.4373,False,19,140
2023-01,111,0.1351,0.6987,0.3013,4.5188,-0.6684,False,15,111
2023-02,106,0.1321,0.6231,0.3769,5.2772,-0.6277,False,14,106
2023-03,153,0.1111,0.6366,0.3634,6.177,-0.5795,False,17,153
2023-04,223,0.0628,0.4635,0.5365,7.5111,-0.5079,False,14,223
2023-05,267,0.0487,0.5758,0.4242,5.5141,-0.615,False,13,267
2023-06,295,0.0576,0.8559,0.1441,2.4495,-0.7793,False,17,295
2023-07,286,0.0804,0.9231,0.0769,1.7693,-0.8158,False,23,286
2023-08,275,0.0909,0.9009,0.0991,2.4766,-0.7779,False,25,275
2023-09,232,0.1121,0.9342,0.0658,1.7112,-0.8189,False,26,232
2023-10,194,0.1392,0.886,0.114,3.0783,-0.7456,False,27,194
2023-11,163,0.1595,0.9248,0.0752,1.9557,-0.8058,False,26,163
2023-12,181,0.1215,0.9379,0.0621,1.3666,-0.8374,False,22,181
2024-01,174,0.1322,0.5961,0.4039,9.2905,-0.4125,False,23,174
2024-02,185,0.1405,0.6971,0.3029,7.8747,-0.4884,False,26,185
2024-03,201,0.204,0.7967,0.2033,8.337,-0.4637,False,41,201
2024-04,262,0.2023,0.7344,0.2656,14.0766,-0.1559,False,53,262
2024-05,370,0.1892,0.5099,0.4901,34.308,0.9289,False,70,370
2024-06,411,0.1873,0.3624,0.6376,49.0939,1.7217,True,77,411
2024-07,385,0.2208,0.3173,0.6827,58.0279,2.2007,True,85,385
2024-08,375,0.264,0.2917,0.7083,70.1211,2.8491,True,99,375
2024-09,387,0.261,0.2924,0.7076,71.4701,2.9214,True,101,387
2024-10,443,0.228,0.3788,0.6212,62.7427,2.4535,True,101,443
2024-11,437,0.2197,0.5122,0.4878,46.8262,1.6001,True,96,437
2024-12,378,0.2143,0.5737,0.4263,34.5285,0.9407,False,81,378
2025-01,321,0.1931,0.4803,0.5197,32.222,0.817,False,62,321
2025-02,302,0.2152,0.4511,0.5489,35.6782,1.0023,False,65,302
2025-03,353,0.2266,0.5407,0.4593,36.7469,1.0596,False,80,353
2025-04,396,0.2374,0.6382,0.3618,34.0056,0.9127,False,94,396
2025-05,374,0.2059,0.6342,0.3658,28.1676,0.5996,False,77,374
2025-06,352,0.1989,0.6429,0.3571,24.9943,0.4295,False,70,352
2025-07,346,0.2312,0.7166,0.2834,22.6752,0.3051,False,80,346
2025-08,407,0.2236,0.6889,0.3111,28.3091,0.6072,False,91,407
2025-09,425,0.2682,0.6897,0.3103,35.3788,0.9863,False,114,425
2025-10,471,0.2909,0.6112,0.3888,53.2644,1.9453,True,137,471
2025-11,408,0.3113,0.6135,0.3865,49.082,1.721,True,127,408
2025-12,334,0.2695,0.6658,0.3342,30.0796,0.7022,False,90,334
2026-01,212,0.217,0.8154,0.1846,8.491,-0.4554,False,46,212
2026-02,213,0.23,0.8735,0.1265,6.1997,-0.5783,False,49,213
2026-03,269,0.2119,0.9689,0.0311,1.7704,-0.8157,False,57,269
