month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,26,0.2692,0.7544,0.2456,1.7189,-1.1081,False,7,26
2019-02,57,0.3509,0.8912,0.1088,2.1761,-0.8277,False,20,57
2019-03,113,0.3186,0.8932,0.1068,3.8433,0.1946,False,36,113
2019-04,147,0.3333,0.8347,0.1653,8.0989,2.804,True,49,147
2019-05,153,0.3072,0.8568,0.1432,6.7305,1.9649,True,47,153
2019-06,160,0.3125,0.8377,0.1623,8.1153,2.8141,True,50,160
2019-07,149,0.2752,0.877,0.123,5.0428,0.9301,False,41,149
2019-08,166,0.2349,0.8793,0.1207,4.7067,0.724,False,39,166
2019-09,169,0.213,0.8952,0.1048,3.7734,0.1517,False,36,169
2019-10,183,0.1967,0.8952,0.1048,3.7734,0.1517,False,36,183
2019-11,175,0.1829,0.8937,0.1063,3.4015,-0.0763,False,32,175
2019-12,146,0.226,0.8828,0.1172,3.8685,0.21,False,33,146
2020-01,125,0.28,0.9627,0.0373,1.3041,-1.3624,False,35,125
2020-02,110,0.3545,0.9619,0.0381,1.4871,-1.2502,False,39,110
2020-03,119,0.2773,0.9703,0.0297,0.9785,-1.5621,False,33,119
2020-04,132,0.2879,0.8952,0.1048,3.9811,0.2791,False,38,132
2020-05,136,0.3015,0.8944,0.1056,4.3307,0.4934,False,41,136
2020-06,139,0.2806,0.8957,0.1043,4.0678,0.3322,False,39,139
2020-07,142,0.2254,0.8966,0.1034,3.308,-0.1337,False,32,142
2020-08,154,0.2013,0.8915,0.1085,3.3628,-0.1001,False,31,154
2020-09,163,0.2454,0.8805,0.1195,4.7791,0.7684,False,40,163
2020-10,147,0.2789,0.8803,0.1197,4.9074,0.8471,False,41,147
2020-11,122,0.3361,0.8829,0.1171,4.8007,0.7816,False,41,122
2020-12,92,0.413,0.9403,0.0597,2.2693,-0.7706,False,38,92
2021-01,104,0.4231,0.9347,0.0653,2.8752,-0.399,False,44,104
2021-02,112,0.4196,0.9675,0.0325,1.5266,-1.226,False,47,112
2021-03,116,0.3448,0.9682,0.0318,1.2726,-1.3817,False,40,116
2021-04,109,0.3945,0.9732,0.0268,1.1538,-1.4546,False,43,109
2021-05,110,0.4091,0.9693,0.0307,1.3802,-1.3157,False,45,110
2021-06,116,0.4138,0.9576,0.0424,2.0365,-0.9133,False,48,116
2021-07,112,0.4375,0.9535,0.0465,2.2796,-0.7642,False,49,112
2021-08,92,0.4783,0.9718,0.0282,1.2423,-1.4003,False,44,92
2021-09,90,0.4778,0.9732,0.0268,1.1538,-1.4546,False,43,90
2021-10,88,0.4545,0.963,0.037,1.4784,-1.2555,False,40,88
2021-11,103,0.3981,0.923,0.077,3.1552,-0.2274,False,41,103
2021-12,95,0.4211,0.8805,0.1195,4.7791,0.7684,False,40,95
2022-01,91,0.4066,0.8735,0.1265,4.6787,0.7068,False,37,91
2022-02,99,0.3838,0.8667,0.1333,5.0654,0.9439,False,38,99
2022-03,110,0.3455,0.8667,0.1333,5.0654,0.9439,False,38,110
2022-04,113,0.3274,0.8565,0.1435,5.311,1.0945,False,37,113
2022-05,94,0.3298,0.8519,0.1481,4.5914,0.6533,False,31,94
2022-06,86,0.3953,0.848,0.152,5.1681,1.0069,False,34,86
2022-07,86,0.3837,0.8186,0.1814,5.9861,1.5085,True,33,86
2022-08,79,0.3797,0.7435,0.2565,7.6949,2.5563,True,30,79
2022-09,82,0.3415,0.7417,0.2583,7.2332,2.2732,True,28,82
2022-10,85,0.3882,0.8431,0.1569,5.1777,1.0128,False,33,85
2022-11,102,0.4118,0.8656,0.1344,5.6459,1.2999,False,42,102
2022-12,98,0.4082,0.8734,0.1266,5.0644,0.9433,False,40,98
2023-01,118,0.3051,0.871,0.129,4.6422,0.6844,False,36,118
