month,ticker,side,regime,ps_zscore,hc_flag,sig_weight,sig_notional_usd,sig_shares,entry_price_usd,bm_weight,bm_notional_usd,bm_shares,gbpusd
2026-05,MSFT,long,positive,-0.2198,False,0.1818,173129.09,418.6471,413.54,0.2,190442.0,460.5165,1.3603
2026-05,AMZN,long,positive,-0.3447,False,0.1818,173129.09,645.378,268.26,0.2,190442.0,709.9158,1.3603
2026-05,CRM,long,positive,0.9275,False,0.1818,173129.09,944.2711,183.35,0.2,190442.0,1038.6801,1.3603
2026-05,SNOW,long,positive,-0.7303,False,0.1818,173129.09,1227.866,141.0,0.2,190442.0,1350.6525,1.3603
2026-05,BABA,long,positive,1.9396,True,0.2727,259693.64,1992.994,130.3,0.2,190442.0,1461.5656,1.3603
2026-05,DDOG,short,negative,3.3714,True,0.3333,136030.0,967.9783,140.53,0.25,102022.5,725.9838,1.3603
2026-05,TWLO,short,negative,0.7226,False,0.2222,90686.67,494.6366,183.34,0.25,102022.5,556.4661,1.3603
2026-05,GTLB,short,negative,0.9572,False,0.2222,90686.67,3770.7606,24.05,0.25,102022.5,4242.0998,1.3603
2026-05,MNDY,short,negative,-1.8183,False,0.2222,90686.67,1246.7235,72.74,0.25,102022.5,1402.5639,1.3603
2026-06,MSFT,long,positive,0.5464,False,0.1818,171309.09,388.1831,441.31,0.2,188440.0,427.0014,1.346
2026-06,AMZN,long,positive,-0.4665,False,0.1818,171309.09,667.8196,256.52,0.2,188440.0,734.6016,1.346
2026-06,CRM,long,positive,0.7325,False,0.1818,171309.09,855.1643,200.32,0.2,188440.0,940.6949,1.346
2026-06,SNOW,long,positive,-0.7741,False,0.1818,171309.09,656.0048,261.14,0.2,188440.0,721.6053,1.346
2026-06,BABA,long,positive,1.777,True,0.2727,256963.64,1982.293,129.63,0.2,188440.0,1453.6758,1.346
2026-06,DDOG,short,negative,2.9641,True,0.3333,134600.0,500.13,269.13,0.25,100950.0,375.0975,1.346
2026-06,TWLO,short,negative,0.7226,False,0.2222,89733.34,391.336,229.3,0.25,100950.0,440.2529,1.346
2026-06,GTLB,short,negative,0.6831,False,0.2222,89733.34,2820.0314,31.82,0.25,100950.0,3172.533,1.346
2026-06,MNDY,short,negative,-1.8788,False,0.2222,89733.34,980.5854,91.51,0.25,100950.0,1103.1581,1.346
2026-07,MSFT,long,positive,0.6935,False,0.1818,168649.09,438.8703,384.28,0.2,185514.0,482.7574,1.3251
2026-07,AMZN,long,positive,-0.5529,False,0.1818,168649.09,697.7622,241.7,0.2,185514.0,767.5383,1.3251
2026-07,CRM,long,positive,0.9275,False,0.1818,168649.09,1033.1988,163.23,0.2,185514.0,1136.519,1.3251
2026-07,SNOW,long,positive,-0.8591,False,0.1818,168649.09,645.6949,261.19,0.2,185514.0,710.2646,1.3251
2026-07,BABA,long,positive,1.751,True,0.2727,252973.64,2581.6283,97.99,0.2,185514.0,1893.1932,1.3251
2026-07,DDOG,short,negative,2.3442,True,0.3333,132510.0,501.0208,264.48,0.25,99382.5,375.7657,1.3251
2026-07,TWLO,short,negative,-0.3965,False,0.2222,88340.0,422.1141,209.28,0.25,99382.5,474.8782,1.3251
2026-07,GTLB,short,negative,0.9023,False,0.2222,88340.0,2801.7798,31.53,0.25,99382.5,3151.9981,1.3251
2026-07,MNDY,short,negative,-1.8788,False,0.2222,88340.0,1158.405,76.26,0.25,99382.5,1303.2061,1.3251
