date_committed,ticker,signal_regime,month,ps_zscore,high_conviction,V,phi_kw,phi_adj,phi_calibration,H,entropy_gap,ps_raw_live,ps_raw_mean,ps_raw_std,n_corp,n_structural_kw
2026-05-01,AMZN,positive,2026-05,-0.3447,False,315,0.2825,0.0715,0.2532,0.6124,0.3876,8.7345,12.7257,11.5792,315,89
2026-05-01,BABA,positive,2026-05,1.9396,True,1811,0.9227,0.3691,0.4,0.7756,0.2244,149.9753,46.6576,53.2665,1811,1671
2026-05-01,CRM,positive,2026-05,0.9275,False,267,0.0749,0.0392,0.5235,0.0,1.0,10.47,5.4893,5.3702,267,20
2026-05-01,DDOG,negative,2026-05,3.3714,True,2415,0.3043,0.1555,0.511,0.6666,0.3334,125.2086,38.3714,25.7571,2415,735
2026-05-01,GTLB,negative,2026-05,0.9572,False,429,0.1795,0.0917,0.511,0.1499,0.8501,33.4508,24.8627,8.9724,429,77
2026-05-01,MNDY,negative,2026-05,-1.8183,False,91,0.1648,0.0842,0.511,0.4591,0.5409,4.1456,25.0645,11.5045,91,15
2026-05-01,MSFT,positive,2026-05,-0.2198,False,337,0.2136,0.0807,0.3777,0.5095,0.4905,13.3377,14.9086,7.146,337,72
2026-05-01,SNOW,positive,2026-05,-0.7303,False,397,0.2796,0.1475,0.5276,0.9426,0.0574,3.3631,16.9842,18.6503,397,111
2026-05-01,TWLO,negative,2026-05,0.7226,False,52,0.9808,0.8854,0.9028,0.8978,0.1022,4.7045,3.526,1.6309,52,51
2026-06-01,AMZN,positive,2026-06,-0.4665,False,292,0.2603,0.0659,0.2532,0.6194,0.3806,7.3236,12.7257,11.5792,292,76
2026-06-01,BABA,positive,2026-06,1.777,True,1847,0.922,0.3688,0.4,0.7926,0.2074,141.3099,46.6576,53.2665,1847,1703
2026-06-01,CRM,positive,2026-06,0.7325,False,260,0.0692,0.0362,0.5235,0.0,1.0,9.423,5.4893,5.3702,260,18
2026-06-01,DDOG,negative,2026-06,2.9641,True,2313,0.2754,0.1407,0.511,0.6476,0.3524,114.7184,38.3714,25.7571,2313,637
2026-06-01,GTLB,negative,2026-06,0.6831,False,399,0.1805,0.0922,0.511,0.1577,0.8423,30.9914,24.8627,8.9724,399,72
2026-06-01,MNDY,negative,2026-06,-1.8788,False,93,0.1398,0.0714,0.511,0.4806,0.5194,3.4503,25.0645,11.5045,93,13
2026-06-01,MSFT,positive,2026-06,0.5464,False,354,0.2542,0.096,0.3777,0.4466,0.5534,18.8132,14.9086,7.146,354,90
2026-06-01,SNOW,positive,2026-06,-0.7741,False,350,0.2657,0.1402,0.5276,0.9481,0.0519,2.5479,16.9842,18.6503,350,93
2026-06-01,TWLO,negative,2026-06,0.7226,False,51,1.0,0.9028,0.9028,0.8978,0.1022,4.7045,3.526,1.6309,51,51
2026-07-04,AMZN,positive,2026-07,-0.5529,False,295,0.2475,0.0627,0.2532,0.6579,0.3421,6.3239,12.7257,11.5792,295,73
2026-07-04,BABA,positive,2026-07,1.751,True,1904,0.9259,0.3704,0.4,0.8016,0.1984,139.9278,46.6576,53.2665,1904,1763
2026-07-04,CRM,positive,2026-07,0.9275,False,379,0.0528,0.0276,0.5235,0.0,1.0,10.47,5.4893,5.3702,379,20
2026-07-04,DDOG,negative,2026-07,2.3442,True,2036,0.2628,0.1343,0.511,0.6388,0.3612,98.7504,38.3714,25.7571,2036,535
2026-07-04,GTLB,negative,2026-07,0.9023,False,415,0.1831,0.0936,0.511,0.1513,0.8487,32.9584,24.8627,8.9724,415,76
2026-07-04,MNDY,negative,2026-07,-1.8788,False,99,0.1313,0.0671,0.511,0.4806,0.5194,3.4503,25.0645,11.5045,99,13
2026-07-04,MSFT,positive,2026-07,0.6935,False,371,0.2345,0.0886,0.3777,0.3955,0.6045,19.8642,14.9086,7.146,371,87
2026-07-04,SNOW,positive,2026-07,-0.8591,False,292,0.2432,0.1283,0.5276,0.9743,0.0257,0.9616,16.9842,18.6503,292,71
2026-07-04,TWLO,negative,2026-07,-0.3965,False,33,0.9394,0.8481,0.9028,0.8971,0.1029,2.8793,3.526,1.6309,33,31
2026-08-01,MSFT,positive,2026-08,0.7106,False,418,0.2105,0.0795,0.3777,0.3987,0.6013,19.9867,14.9086,7.146,418,88
2026-08-01,AMZN,positive,2026-08,-0.7489,False,291,0.1787,0.0452,0.2532,0.6921,0.3079,4.0542,12.7257,11.5792,291,52
2026-08-01,CRM,positive,2026-08,1.1224,False,485,0.0454,0.0237,0.5235,0.0,1.0,11.517,5.4893,5.3702,485,22
2026-08-01,SNOW,positive,2026-08,-0.8594,False,262,0.2137,0.1128,0.5276,0.9676,0.0324,0.9559,16.9842,18.6503,262,56
2026-08-01,DDOG,negative,2026-08,1.9485,True,1906,0.2508,0.1282,0.511,0.6374,0.3626,88.5598,38.3714,25.7571,1906,478
2026-08-01,TWLO,negative,2026-08,-1.0354,False,22,0.9091,0.8207,0.9028,0.8982,0.1018,1.8373,3.526,1.6309,22,20
2026-08-01,BABA,positive,2026-08,1.3088,False,1861,0.9172,0.3669,0.4,0.8296,0.1704,116.3754,46.6576,53.2665,1861,1707
2026-08-01,GTLB,negative,2026-08,1.2882,False,530,0.1623,0.0829,0.511,0.1712,0.8288,36.4212,24.8627,8.9724,530,86
2026-08-01,MNDY,negative,2026-08,-1.9365,False,118,0.1271,0.065,0.511,0.6365,0.3635,2.7866,25.0645,11.5045,118,15
