quarter,date,revenue,revenue_yoy,ps_zscore_mean,ps_zscore_max,ticker,rev_lead1,rev_lead2,rev_lead4
2019Q4,2019-12-31,114.0,123.52941176470588,-0.7870666666666667,-0.6977,DDOG,87.14285714285714,68.67469879518073,56.14035087719298
2020Q1,2020-03-31,131.0,87.14285714285714,-0.807,-0.6975,DDOG,68.67469879518073,61.45833333333333,51.908396946564885
2020Q2,2020-06-30,140.0,68.67469879518073,-0.26586666666666664,-0.0753,DDOG,61.45833333333333,56.14035087719298,67.14285714285715
2020Q3,2020-09-30,155.0,61.45833333333333,-0.6434333333333333,-0.5212,DDOG,56.14035087719298,51.908396946564885,74.19354838709677
2020Q4,2020-12-31,178.0,56.14035087719298,-0.7985000000000001,-0.6801,DDOG,51.908396946564885,67.14285714285715,83.14606741573034
2021Q1,2021-03-31,199.0,51.908396946564885,-0.9051666666666667,-0.8737,DDOG,67.14285714285715,74.19354838709677,82.41206030150754
2021Q2,2021-06-30,234.0,67.14285714285715,-0.9087333333333333,-0.7978,DDOG,74.19354838709677,83.14606741573034,73.50427350427351
2021Q3,2021-09-30,270.0,74.19354838709677,-0.8416,-0.465,DDOG,83.14606741573034,82.41206030150754,61.85185185185185
2021Q4,2021-12-31,326.0,83.14606741573034,0.17173333333333332,0.3958,DDOG,82.41206030150754,73.50427350427351,43.865030674846615
2022Q1,2022-03-31,363.0,82.41206030150754,-0.5588666666666667,-0.4864,DDOG,73.50427350427351,61.85185185185185,32.78236914600552
2022Q2,2022-06-30,406.0,73.50427350427351,-0.6352666666666666,-0.4681,DDOG,61.85185185185185,43.865030674846615,25.369458128078826
2022Q3,2022-09-30,437.0,61.85185185185185,-0.666,-0.5108,DDOG,43.865030674846615,32.78236914600552,25.400457665903886
2022Q4,2022-12-31,469.0,43.865030674846615,-0.48200000000000004,-0.2994,DDOG,32.78236914600552,25.369458128078826,25.799573560767584
2023Q1,2023-03-31,482.0,32.78236914600552,-0.4243666666666666,-0.3997,DDOG,25.369458128078826,25.400457665903886,26.763485477178417
2023Q2,2023-06-30,509.0,25.369458128078826,-0.5245000000000001,-0.4685,DDOG,25.400457665903886,25.799573560767584,26.719056974459733
2023Q3,2023-09-30,548.0,25.400457665903886,-0.03940000000000001,0.1707,DDOG,25.799573560767584,26.763485477178417,25.912408759124084
2023Q4,2023-12-31,590.0,25.799573560767584,0.23216666666666666,0.4114,DDOG,26.763485477178417,26.719056974459733,25.08474576271187
2024Q1,2024-03-31,611.0,26.763485477178417,0.3192,0.6492,DDOG,26.719056974459733,25.912408759124084,24.71358428805237
2024Q2,2024-06-30,645.0,26.719056974459733,1.3207333333333333,1.6403,DDOG,25.912408759124084,25.08474576271187,28.21705426356589
2024Q3,2024-09-30,690.0,25.912408759124084,0.9308333333333333,1.1758,DDOG,25.08474576271187,24.71358428805237,28.40579710144928
2024Q4,2024-12-31,738.0,25.08474576271187,0.6372000000000001,1.108,DDOG,24.71358428805237,28.21705426356589,29.13279132791329
2025Q1,2025-03-31,762.0,24.71358428805237,1.2705666666666666,1.3118,DDOG,28.21705426356589,28.40579710144928,32.020997375328086
2025Q2,2025-06-30,827.0,28.21705426356589,1.1830333333333334,1.465,DDOG,28.40579710144928,29.13279132791329,
2025Q3,2025-09-30,886.0,28.40579710144928,0.9993333333333333,1.3292,DDOG,29.13279132791329,32.020997375328086,
2025Q4,2025-12-31,953.0,29.13279132791329,2.3863333333333334,3.0284,DDOG,32.020997375328086,,
2026Q1,2026-03-31,1006.0,32.020997375328086,2.377333333333333,2.9415,DDOG,,,
