month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2016-01,849,0.0942,0.0,1.0,80.0,-2.2401,False,80,849
2016-02,1703,0.0969,0.0,1.0,165.0,-0.4355,False,165,1703
2016-03,2692,0.1033,0.0,1.0,278.0,1.9634,True,278,2692
2016-04,2680,0.1116,0.0,1.0,299.0,2.4092,True,299,2680
2016-05,2367,0.1098,0.0,1.0,260.0,1.5813,True,260,2367
2016-06,1768,0.0979,0.0,1.0,173.0,-0.2657,False,173,1768
2016-07,1781,0.0803,0.0,1.0,143.0,-0.9026,False,143,1781
2016-08,1745,0.0825,0.0,1.0,144.0,-0.8814,False,144,1745
2016-09,1779,0.0995,0.0,1.0,177.0,-0.1808,False,177,1779
2016-10,1535,0.1107,0.0,1.0,170.0,-0.3294,False,170,1535
2016-11,1460,0.0979,0.0,1.0,143.0,-0.9026,False,143,1460
2016-12,1682,0.0898,0.0,1.0,151.0,-0.7328,False,151,1682
2017-01,1784,0.0897,0.0,1.0,160.0,-0.5417,False,160,1784
2017-02,2099,0.1086,0.0,1.0,228.0,0.9019,False,228,2099
2017-03,2242,0.1231,0.0,1.0,276.0,1.9209,True,276,2242
2017-04,2648,0.1231,0.0477,0.9523,310.4349,2.652,True,326,2648
2017-05,2851,0.1182,0.1565,0.8435,284.2758,2.0966,True,337,2851
2017-06,2805,0.107,0.2237,0.7763,232.8751,1.0054,False,300,2805
2017-07,2178,0.107,0.2649,0.7351,171.272,-0.3024,False,233,2178
2017-08,1726,0.1049,0.2061,0.7939,143.6939,-0.8879,False,181,1726
2017-09,1882,0.1052,0.1443,0.8557,169.4347,-0.3414,False,198,1882
2017-10,1914,0.1071,0.1888,0.8112,166.2913,-0.4081,False,205,1914
2017-11,2103,0.0994,0.2572,0.7428,155.2533,-0.6425,False,209,2103
2017-12,1916,0.0851,0.3309,0.6691,109.0667,-1.623,False,163,1916
2018-01,1977,0.0774,0.3134,0.6866,105.0535,-1.7082,False,153,1977
2018-02,1991,0.0939,0.3361,0.6639,124.1404,-1.303,False,187,1991
2018-03,2276,0.0958,0.2569,0.7431,161.9882,-0.4995,False,218,2276
2018-04,2249,0.0969,0.1975,0.8025,174.942,-0.2245,False,218,2249
2018-05,2227,0.0858,0.042,0.958,182.9875,-0.0537,False,191,2227
2018-06,1944,0.0916,0.0444,0.9556,170.0897,-0.3275,False,178,1944
2018-07,2011,0.0965,0.0414,0.9586,185.9649,0.0095,False,194,2011
2018-08,2224,0.0926,0.0,1.0,206.0,0.4349,False,206,2224
2018-09,2476,0.0953,0.0353,0.9647,227.6808,0.8951,False,236,2476
