month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2018-01,0,0.0,1.0,0.0,0.0,-1.1148,False,0,0
2018-02,0,0.0,1.0,0.0,0.0,-1.1148,False,0,0
2018-03,0,0.0,1.0,0.0,0.0,-1.1148,False,0,0
2018-04,0,0.0,1.0,0.0,0.0,-1.1148,False,0,0
2018-05,3,0.0,1.0,0.0,0.0,-1.1148,False,0,3
2018-06,3,0.0,1.0,0.0,0.0,-1.1148,False,0,3
2018-07,3,0.0,1.0,0.0,0.0,-1.1148,False,0,3
2018-08,8,0.25,0.0,1.0,2.0,-1.001,False,2,8
2018-09,14,0.1429,0.0,1.0,2.0,-1.001,False,2,14
2018-10,20,0.1,0.0,1.0,2.0,-1.001,False,2,20
2018-11,20,0.0,1.0,0.0,0.0,-1.1148,False,0,20
2018-12,16,0.0,1.0,0.0,0.0,-1.1148,False,0,16
2019-01,9,0.0,1.0,0.0,0.0,-1.1148,False,0,9
2019-02,4,0.0,1.0,0.0,0.0,-1.1148,False,0,4
2019-03,8,0.125,0.0,1.0,1.0,-1.0579,False,1,8
2019-04,8,0.125,0.0,1.0,1.0,-1.0579,False,1,8
2019-05,28,0.1071,0.0,1.0,3.0,-0.9442,False,3,28
2019-06,83,0.1446,0.0,1.0,12.0,-0.4322,False,12,83
2019-07,104,0.1442,0.0,1.0,15.0,-0.2616,False,15,104
2019-08,91,0.1538,0.0,1.0,14.0,-0.3184,False,14,91
2019-09,43,0.093,0.0,1.0,4.0,-0.8873,False,4,43
2019-10,41,0.2195,0.0,1.0,9.0,-0.6029,False,9,41
2019-11,80,0.1625,0.0,1.0,13.0,-0.3753,False,13,80
2019-12,86,0.186,0.0,1.0,16.0,-0.2047,False,16,86
2020-01,114,0.1316,0.0,1.0,15.0,-0.2616,False,15,114
2020-02,171,0.193,0.0,1.0,33.0,0.7623,False,33,171
2020-03,247,0.1579,0.0,1.0,39.0,1.1036,False,39,247
2020-04,305,0.1607,0.0,1.0,49.0,1.6724,True,49,305
2020-05,352,0.1477,0.0,1.0,52.0,1.8431,True,52,352
2020-06,407,0.14,0.0,1.0,57.0,2.1275,True,57,407
2020-07,453,0.1236,0.0,1.0,56.0,2.0706,True,56,453
2020-08,367,0.1144,0.0,1.0,42.0,1.2743,False,42,367
2020-09,339,0.1209,0.0,1.0,41.0,1.2174,False,41,339
2020-10,316,0.1677,0.0,1.0,53.0,1.9,True,53,316
2020-11,358,0.1536,0.0,1.0,55.0,2.0137,True,55,358
2020-12,372,0.1532,0.0,1.0,57.0,2.1275,True,57,372
2021-01,400,0.1125,0.0,1.0,45.0,1.4449,False,45,400
2021-02,439,0.1002,0.0,1.0,44.0,1.388,False,44,439
2021-03,487,0.0986,0.0,1.0,48.0,1.6156,True,48,487
2021-04,459,0.0893,0.0,1.0,41.0,1.2174,False,41,459
2021-05,364,0.0934,0.0,1.0,34.0,0.8192,False,34,364
2021-06,315,0.0984,0.0,1.0,31.0,0.6486,False,31,315
2021-07,388,0.0902,0.0,1.0,35.0,0.8761,False,35,388
2021-08,340,0.0971,0.0,1.0,33.0,0.7623,False,33,340
2021-09,336,0.0982,0.0,1.0,33.0,0.7623,False,33,336
2021-10,266,0.1767,0.0,1.0,47.0,1.5587,True,47,266
