month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,182,0.0879,0.5024,0.4976,7.9609,-0.8491,False,16,182
2019-02,550,0.1036,0.6325,0.3675,20.9465,1.7254,True,57,550
2019-03,731,0.1012,0.6414,0.3586,26.5396,2.8343,True,74,731
2019-04,888,0.0845,0.5879,0.4121,30.9066,3.7001,True,75,888
2019-05,808,0.0619,0.7182,0.2818,14.0877,0.3656,False,50,808
2019-06,958,0.0637,0.8255,0.1745,10.6469,-0.3166,False,61,958
2019-07,949,0.0685,0.8949,0.1051,6.8315,-1.073,False,65,949
2019-08,978,0.0665,0.8677,0.1323,8.6016,-0.722,False,65,978
2019-09,765,0.0641,0.879,0.121,5.9277,-1.2522,False,49,765
2019-10,629,0.0636,0.8416,0.1584,6.335,-1.1714,False,40,629
2019-11,494,0.0789,0.8759,0.1241,4.8399,-1.4678,False,39,494
2019-12,460,0.0717,0.8054,0.1946,6.4231,-1.1539,False,33,460
2020-01,400,0.0725,0.8378,0.1622,4.705,-1.4946,False,29,400
2020-02,467,0.0557,0.8368,0.1632,4.2445,-1.5859,False,26,467
2020-03,538,0.0688,0.8752,0.1248,4.6172,-1.512,False,37,538
2020-04,643,0.0778,0.8722,0.1278,6.3912,-1.1603,False,50,643
2020-05,655,0.0763,0.7939,0.2061,10.3041,-0.3845,False,50,655
2020-06,676,0.0814,0.8441,0.1559,8.5766,-0.727,False,55,676
2020-07,574,0.0767,0.8392,0.1608,7.0745,-1.0248,False,44,574
2020-08,511,0.1076,0.8729,0.1271,6.9903,-1.0415,False,55,511
2020-09,439,0.1139,0.7392,0.2608,13.0413,0.1582,False,50,439
2020-10,440,0.1364,0.7253,0.2747,16.4849,0.8409,False,60,440
2020-11,414,0.128,0.6974,0.3026,16.0385,0.7524,False,53,414
2020-12,371,0.1402,0.806,0.194,10.0866,-0.4276,False,52,371
2021-01,322,0.118,0.8693,0.1307,4.9659,-1.4428,False,38,322
2021-02,320,0.0813,0.8426,0.1574,4.0934,-1.6158,False,26,320
2021-03,400,0.0825,0.7807,0.2193,7.2354,-0.9929,False,33,400
2021-04,429,0.0979,0.7675,0.2325,9.7647,-0.4915,False,42,429
2021-05,461,0.1171,0.7149,0.2851,15.3959,0.625,False,54,461
2021-06,482,0.0934,0.6829,0.3171,14.2703,0.4018,False,45,482
2021-07,529,0.0851,0.659,0.341,15.3455,0.615,False,45,529
2021-08,466,0.0751,0.7505,0.2495,8.7331,-0.696,False,35,466
2021-09,398,0.0829,0.7383,0.2617,8.6355,-0.7153,False,33,398
2021-10,351,0.1054,0.7186,0.2814,10.4102,-0.3635,False,37,351
2021-11,345,0.0957,0.6862,0.3138,10.3564,-0.3741,False,33,345
2021-12,304,0.1184,0.5261,0.4739,17.0602,0.9549,False,36,304
2022-01,264,0.1174,0.3679,0.6321,19.5942,1.4573,False,31,264
2022-02,251,0.1076,0.4319,0.5681,15.339,0.6137,False,27,251
2022-03,309,0.1165,0.6804,0.3196,11.5043,-0.1466,False,36,309
2022-04,338,0.1124,0.7076,0.2924,11.1118,-0.2244,False,38,338
2022-05,328,0.1402,0.6395,0.3605,16.5833,0.8604,False,46,328
2022-06,293,0.1058,0.6099,0.3901,12.093,-0.0299,False,31,293
2022-07,254,0.1063,0.5,0.5,13.5007,0.2492,False,27,254
2022-08,279,0.086,0.5655,0.4345,10.4274,-0.3601,False,24,279
2022-09,301,0.0731,0.5274,0.4726,10.3966,-0.3662,False,22,301
2022-10,337,0.0801,0.4211,0.5789,15.631,0.6716,False,27,337
2022-11,329,0.0821,0.4755,0.5245,14.1609,0.3801,False,27,329
2022-12,306,0.1078,0.6068,0.3932,12.9758,0.1452,False,33,306
2023-01,281,0.1139,0.6003,0.3997,12.79,0.1083,False,32,281
2023-02,276,0.1123,0.6776,0.3224,9.9955,-0.4457,False,31,276
2023-03,338,0.0769,0.582,0.418,10.8683,-0.2727,False,26,338
2023-04,360,0.0722,0.7097,0.2903,7.5474,-0.931,False,26,360
2023-05,376,0.0798,0.6987,0.3013,9.0375,-0.6356,False,30,376
2023-06,341,0.0997,0.6809,0.3191,10.8503,-0.2762,False,34,341
2023-07,342,0.0965,0.6206,0.3794,12.5204,0.0549,False,33,342
2023-08,333,0.0991,0.546,0.454,14.9824,0.543,False,33,333
2023-09,377,0.1114,0.7216,0.2784,11.6936,-0.109,False,42,377
2023-10,418,0.1124,0.7632,0.2368,11.131,-0.2206,False,47,418
2023-11,438,0.1119,0.776,0.224,10.9782,-0.2509,False,49,438
2023-12,374,0.0775,0.7691,0.2309,6.6955,-1.0999,False,29,374
2024-01,354,0.0876,0.6343,0.3657,11.3355,-0.18,False,31,354
2024-02,382,0.089,0.5514,0.4486,15.2532,0.5967,False,34,382
2024-03,403,0.0918,0.4917,0.5083,18.8069,1.3012,False,37,403
