month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,203,0.0887,0.7694,0.2306,4.1516,-0.7405,False,18,203
2019-02,423,0.0969,0.6624,0.3376,13.8423,0.0964,False,41,423
2019-03,626,0.0863,0.6759,0.3241,17.5032,0.4126,False,54,626
2019-04,626,0.0911,0.6049,0.3951,22.5218,0.846,False,57,626
2019-05,609,0.0903,0.6436,0.3564,19.6008,0.5937,False,55,609
2019-06,623,0.0803,0.5987,0.4013,20.0668,0.634,False,50,623
2019-07,634,0.0931,0.5828,0.4172,24.6121,1.0265,False,59,634
2019-08,640,0.1219,0.5385,0.4615,35.9941,2.0095,True,78,640
2019-09,619,0.1745,0.4981,0.5019,54.2055,3.5823,True,108,619
2019-10,647,0.1607,0.4712,0.5288,54.9978,3.6507,True,104,647
2019-11,651,0.129,0.5405,0.4595,38.6,2.2346,True,84,651
2019-12,601,0.1032,0.603,0.397,24.6119,1.0265,False,62,601
2020-01,632,0.1092,0.6515,0.3485,24.0469,0.9777,False,69,632
2020-02,660,0.1061,0.652,0.348,24.3621,1.0049,False,70,660
2020-03,681,0.0881,0.6466,0.3534,21.2069,0.7325,False,60,681
2020-04,600,0.0833,0.6323,0.3677,18.3851,0.4888,False,50,600
2020-05,561,0.1016,0.5015,0.4985,28.415,1.355,False,57,561
2020-06,587,0.1465,0.5926,0.4074,35.0366,1.9268,True,86,587
2020-07,650,0.1631,0.5663,0.4337,45.9722,2.8712,True,106,650
2020-08,617,0.1572,0.5858,0.4142,40.1809,2.3711,True,97,617
2020-09,585,0.1214,0.5968,0.4032,28.6307,1.3736,False,71,585
2020-10,557,0.0862,0.6489,0.3511,16.8533,0.3565,False,48,557
2020-11,564,0.1135,0.8195,0.1805,11.5528,-0.1013,False,64,564
2020-12,599,0.1119,0.8597,0.1403,9.3982,-0.2874,False,67,599
2021-01,613,0.1077,0.8422,0.1578,10.4176,-0.1993,False,66,613
2021-02,639,0.0689,0.7728,0.2272,9.9964,-0.2357,False,44,639
2021-03,639,0.0642,0.7254,0.2746,11.2566,-0.1269,False,41,639
2021-04,658,0.0578,0.7061,0.2939,11.1666,-0.1346,False,38,658
2021-05,648,0.0586,0.7842,0.2158,8.1989,-0.3909,False,38,648
2021-06,593,0.0489,0.7478,0.2522,7.3143,-0.4673,False,29,593
2021-07,610,0.0574,0.7399,0.2601,9.1045,-0.3127,False,35,610
2021-08,591,0.0474,0.7357,0.2643,7.401,-0.4598,False,28,591
2021-09,580,0.0397,0.6314,0.3686,8.4782,-0.3668,False,23,580
2021-10,565,0.0265,0.6951,0.3049,4.5736,-0.704,False,15,565
2021-11,522,0.0345,0.6829,0.3171,5.708,-0.6061,False,18,522
2021-12,446,0.0404,0.8605,0.1395,2.5108,-0.8822,False,18,446
2022-01,410,0.0439,0.8746,0.1254,2.2574,-0.9041,False,18,410
2022-02,410,0.0317,0.851,0.149,1.9376,-0.9317,False,13,410
2022-03,544,0.0239,0.9329,0.0671,0.8718,-1.0237,False,13,544
2022-04,571,0.0298,0.762,0.238,4.0455,-0.7496,False,17,571
2022-05,595,0.0286,0.5977,0.4023,6.8383,-0.5084,False,17,595
2022-06,569,0.0334,0.5897,0.4103,7.796,-0.4257,False,19,569
2022-07,570,0.0263,0.6057,0.3943,5.9152,-0.5882,False,15,570
2022-08,577,0.026,0.7062,0.2938,4.4064,-0.7185,False,15,577
2022-09,541,0.0388,0.6439,0.3561,7.4778,-0.4532,False,21,541
2022-10,554,0.0451,0.7339,0.2661,6.6523,-0.5245,False,25,554
2022-11,531,0.0659,0.8563,0.1437,5.0279,-0.6648,False,35,531
2022-12,546,0.0568,0.8355,0.1645,5.0999,-0.6586,False,31,546
2023-01,523,0.0516,0.7874,0.2126,5.739,-0.6034,False,27,523
2023-02,573,0.0366,0.8747,0.1253,2.6308,-0.8718,False,21,573
2023-03,634,0.0347,0.8958,0.1042,2.2913,-0.9011,False,22,634
2023-04,683,0.041,0.9496,0.0504,1.411,-0.9772,False,28,683
2023-05,706,0.0425,0.851,0.149,4.4709,-0.7129,False,30,706
2023-06,715,0.0573,0.7399,0.2601,10.6631,-0.1781,False,41,715
2023-07,651,0.0599,0.6173,0.3827,14.9267,0.1901,False,39,651
2023-08,622,0.0482,0.6014,0.3986,11.9578,-0.0663,False,30,622
2023-09,653,0.0521,0.5845,0.4155,14.1259,0.1209,False,34,653
2023-10,631,0.0761,0.5382,0.4618,22.1678,0.8154,False,48,631
2023-11,607,0.0988,0.7108,0.2892,17.3494,0.3993,False,60,607
2023-12,578,0.083,0.772,0.228,10.9434,-0.1539,False,48,578
2024-01,568,0.0563,0.9177,0.0823,2.634,-0.8715,False,32,568
2024-02,579,0.038,0.7092,0.2908,6.397,-0.5466,False,22,579
2024-03,591,0.0338,0.6832,0.3168,6.3367,-0.5518,False,20,591
2024-04,634,0.0363,0.7556,0.2444,5.6216,-0.6135,False,23,634
2024-05,645,0.0264,0.7244,0.2756,4.6844,-0.6945,False,17,645
2024-06,674,0.043,0.6501,0.3499,10.1461,-0.2228,False,29,674
2024-07,586,0.0478,0.7368,0.2632,7.3696,-0.4626,False,28,586
2024-08,611,0.0589,0.7454,0.2546,9.167,-0.3073,False,36,611
2024-09,616,0.0552,0.7451,0.2549,8.6674,-0.3505,False,34,616
2024-10,712,0.059,0.7677,0.2323,9.755,-0.2566,False,42,712
2024-11,665,0.0797,0.8558,0.1442,7.6406,-0.4392,False,53,665
2024-12,578,0.09,0.9761,0.0239,1.242,-0.9917,False,52,578
2025-01,576,0.0816,0.9746,0.0254,1.1949,-0.9958,False,47,576
2025-02,610,0.0557,0.9309,0.0691,2.3506,-0.896,False,34,610
2025-03,669,0.0404,0.8603,0.1397,3.7721,-0.7732,False,27,669
2025-04,699,0.0486,0.792,0.208,7.0724,-0.4882,False,34,699
2025-05,727,0.0578,0.7648,0.2352,9.8765,-0.2461,False,42,727
2025-06,698,0.0702,0.8871,0.1129,5.5305,-0.6214,False,49,698
2025-07,641,0.0702,0.8575,0.1425,6.4125,-0.5452,False,45,641
2025-08,614,0.0912,0.956,0.044,2.465,-0.8861,False,56,614
2025-09,536,0.0802,0.919,0.081,3.4811,-0.7984,False,43,536
2025-10,526,0.1179,0.7572,0.2428,15.0565,0.2013,False,62,526
2025-11,531,0.0998,0.7366,0.2634,13.9591,0.1065,False,53,531
2025-12,536,0.1381,0.759,0.241,17.8356,0.4413,False,74,536
2026-01,552,0.0942,0.7451,0.2549,13.257,0.0459,False,52,552
2026-02,579,0.0708,0.7166,0.2834,11.6214,-0.0954,False,41,579
2026-03,602,0.0482,0.8032,0.1968,5.7074,-0.6061,False,29,602
