month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2016-01,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-02,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-03,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-04,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-05,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-06,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-07,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-08,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-09,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-10,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-11,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2016-12,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2017-01,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2017-02,0,0.0,1.0,0.0,0.0,-1.0635,False,0,0
2017-03,5,0.2,0.0,1.0,1.0,-1.0535,False,1,5
2017-04,8,0.375,0.0,1.0,3.0,-1.0335,False,3,8
2017-05,8,0.375,0.0,1.0,3.0,-1.0335,False,3,8
2017-06,13,0.3077,0.0,1.0,4.0,-1.0235,False,4,13
2017-07,25,0.16,0.0,1.0,4.0,-1.0235,False,4,25
2017-08,49,0.2041,0.0,1.0,10.0,-0.9634,False,10,49
2017-09,45,0.2,0.0,1.0,9.0,-0.9734,False,9,45
2017-10,50,0.34,0.0,1.0,17.0,-0.8934,False,17,50
2017-11,22,0.4545,0.0,1.0,10.0,-0.9634,False,10,22
2017-12,56,0.625,0.0,1.0,35.0,-0.7132,False,35,56
2018-01,119,0.5126,0.0,1.0,61.0,-0.4529,False,61,119
2018-02,135,0.5037,0.0,1.0,68.0,-0.3828,False,68,135
2018-03,147,0.3673,0.0,1.0,54.0,-0.523,False,54,147
2018-04,99,0.2424,0.0,1.0,24.0,-0.8233,False,24,99
2018-05,100,0.22,0.0,1.0,22.0,-0.8433,False,22,100
2018-06,89,0.2921,0.0,1.0,26.0,-0.8033,False,26,89
2018-07,177,0.3616,0.0,1.0,64.0,-0.4229,False,64,177
2018-08,293,0.3208,0.0,1.0,94.0,-0.1226,False,94,293
2018-09,383,0.3734,0.0,1.0,143.0,0.3679,False,143,383
2018-10,340,0.3618,0.0,1.0,123.0,0.1677,False,123,340
2018-11,273,0.3773,0.0,1.0,103.0,-0.0325,False,103,273
2018-12,218,0.2477,0.1143,0.8857,47.8295,-0.5847,False,54,218
2019-01,231,0.1732,0.1432,0.8568,34.2721,-0.7205,False,40,231
2019-02,200,0.18,0.1548,0.8452,30.4282,-0.7589,False,36,200
2019-03,238,0.2479,0.0,1.0,59.0,-0.4729,False,59,238
2019-04,181,0.3094,0.1111,0.8889,49.776,-0.5653,False,56,181
2019-05,182,0.3297,0.1767,0.8233,49.3992,-0.569,False,60,182
2019-06,143,0.2587,0.2471,0.7529,27.8576,-0.7847,False,37,143
2019-07,144,0.2292,0.1649,0.8351,27.5575,-0.7877,False,33,144
2019-08,132,0.197,0.0,1.0,26.0,-0.8033,False,26,132
2019-09,103,0.233,0.0,1.0,24.0,-0.8233,False,24,103
2019-10,121,0.2149,0.0,1.0,26.0,-0.8033,False,26,121
2019-11,157,0.2357,0.0,1.0,37.0,-0.6932,False,37,157
2019-12,164,0.2561,0.0,1.0,42.0,-0.6431,False,42,164
2020-01,167,0.3114,0.0,1.0,52.0,-0.543,False,52,167
2020-02,147,0.3061,0.0,1.0,45.0,-0.6131,False,45,147
2020-03,153,0.281,0.0,1.0,43.0,-0.6331,False,43,153
2020-04,147,0.2381,0.0,1.0,35.0,-0.7132,False,35,147
2020-05,149,0.2617,0.0,1.0,39.0,-0.6731,False,39,149
2020-06,143,0.2657,0.0,1.0,38.0,-0.6831,False,38,143
2020-07,120,0.2917,0.0,1.0,35.0,-0.7132,False,35,120
2020-08,106,0.2453,0.4226,0.5774,15.0136,-0.9132,False,26,106
2020-09,186,0.3548,0.7629,0.2371,15.6482,-0.9069,False,66,186
2020-10,260,0.3654,0.7849,0.2151,20.4368,-0.859,False,95,260
2020-11,376,0.4016,0.7809,0.2191,33.0795,-0.7324,False,151,376
2020-12,708,0.2684,0.7627,0.2373,45.0804,-0.6123,False,190,708
2021-01,828,0.3056,0.746,0.254,64.2584,-0.4203,False,253,828
2021-02,839,0.298,0.7379,0.2621,65.5251,-0.4076,False,250,839
2021-03,714,0.472,0.7028,0.2972,100.1469,-0.061,False,337,714
2021-04,730,0.4466,0.7173,0.2827,92.1647,-0.1409,False,326,730
2021-05,710,0.4592,0.7071,0.2929,95.4727,-0.1078,False,326,710
2021-06,529,0.3951,0.7344,0.2656,55.5193,-0.5078,False,209,529
