month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2021-06,686,0.019,0.4932,0.5068,6.5888,-0.1167,False,13,686
2021-07,836,0.0311,0.301,0.699,18.1748,1.3818,False,26,836
2021-08,1040,0.0308,0.3179,0.6821,21.8283,1.8544,True,32,1040
2021-09,1131,0.0203,0.3478,0.6522,14.9996,0.9711,False,23,1131
2021-10,1048,0.0172,0.4833,0.5167,9.3012,0.2341,False,18,1048
2021-11,943,0.018,0.4403,0.5597,9.5143,0.2617,False,17,943
2021-12,1356,0.0155,0.546,0.454,9.534,0.2642,False,21,1356
2022-01,1421,0.0183,0.4555,0.5445,14.1558,0.862,False,26,1421
2022-02,1394,0.0194,0.2977,0.7023,18.9615,1.4836,False,27,1394
2022-03,916,0.0306,0.0957,0.9043,25.3195,2.3059,True,28,916
2022-04,1494,0.0161,0.0,1.0,24.0,2.1353,True,24,1494
2022-05,1451,0.0152,0.0,1.0,22.0,1.8766,True,22,1451
2022-06,1952,0.0092,0.2167,0.7833,14.0987,0.8546,False,18,1952
2022-07,2487,0.0076,0.4759,0.5241,9.9578,0.319,False,19,2487
2022-08,2766,0.0141,0.3591,0.6409,24.9939,2.2638,True,39,2766
2022-09,2948,0.0149,0.4047,0.5953,26.1946,2.4191,True,44,2948
2022-10,2047,0.0171,0.2156,0.7844,27.4524,2.5818,True,35,2047
2022-11,1847,0.0108,0.322,0.678,13.5607,0.785,False,20,1847
2022-12,2126,0.0038,0.2341,0.7659,6.1272,-0.1764,False,8,2126
2023-01,2132,0.0047,0.5579,0.4421,4.4207,-0.3971,False,10,2132
2023-02,3591,0.0017,0.772,0.228,1.3681,-0.792,False,6,3591
2023-03,2417,0.005,0.9155,0.0845,1.0135,-0.8378,False,12,2417
2023-04,3303,0.003,0.7952,0.2048,2.0478,-0.7041,False,10,3303
2023-05,1828,0.006,0.6182,0.3818,4.2,-0.4257,False,11,1828
2023-06,1329,0.0045,0.4307,0.5693,3.4159,-0.5271,False,6,1329
2023-07,1780,0.0028,0.3109,0.6891,3.4454,-0.5233,False,5,1780
2023-08,1801,0.0039,0.3717,0.6283,4.3979,-0.4001,False,7,1801
2023-09,3279,0.0018,0.2799,0.7201,4.3203,-0.4101,False,6,3279
2023-10,2085,0.0034,0.0,1.0,7.0,-0.0635,False,7,2085
2023-11,3665,0.0008,0.3955,0.6045,1.8135,-0.7344,False,3,3665
2023-12,3759,0.0016,0.2799,0.7201,4.3203,-0.4101,False,6,3759
2024-01,3866,0.001,0.3494,0.6506,2.6024,-0.6323,False,4,3866
2024-02,2388,0.0008,0.0,1.0,2.0,-0.7102,False,2,2388
2024-03,886,0.0,1.0,0.0,0.0,-0.9689,False,0,886
2024-04,1855,0.0,1.0,0.0,0.0,-0.9689,False,0,1855
2024-05,1947,0.0005,0.0,1.0,1.0,-0.8396,False,1,1947
2024-06,1804,0.0006,0.0,1.0,1.0,-0.8396,False,1,1804
2024-07,389,0.0026,0.0,1.0,1.0,-0.8396,False,1,389
2024-08,49,0.0,1.0,0.0,0.0,-0.9689,False,0,49
2024-09,87,0.046,0.0,1.0,4.0,-0.4516,False,4,87
2024-10,115,0.0609,0.3717,0.6283,4.3979,-0.4001,False,7,115
2024-11,115,0.0696,0.5594,0.4406,3.5251,-0.513,False,8,115
2024-12,97,0.0722,0.8399,0.1601,1.1206,-0.824,False,7,97
2025-01,100,0.04,0.4307,0.5693,2.2773,-0.6744,False,4,100
2025-02,95,0.0526,0.4182,0.5818,2.9092,-0.5926,False,5,95
2025-03,86,0.0465,0.646,0.354,1.4159,-0.7858,False,4,86
2025-04,93,0.0645,0.6284,0.3716,2.2295,-0.6806,False,6,93
2025-05,85,0.0471,0.3494,0.6506,2.6024,-0.6323,False,4,85
2025-06,88,0.0455,0.4307,0.5693,2.2773,-0.6744,False,4,88
2025-07,95,0.0737,0.4243,0.5757,4.0298,-0.4477,False,7,95
2025-08,134,0.0746,0.4182,0.5818,5.8183,-0.2164,False,10,134
2025-09,185,0.0486,0.4268,0.5732,5.1585,-0.3017,False,9,185
2025-10,182,0.044,0.4111,0.5889,4.7116,-0.3595,False,8,182
2025-11,138,0.058,0.6724,0.3276,2.6208,-0.63,False,8,138
2025-12,90,0.1111,0.6398,0.3602,3.6024,-0.503,False,10,90
2026-01,85,0.0824,0.3717,0.6283,4.3979,-0.4001,False,7,85
2026-02,106,0.0755,0.3494,0.6506,5.2048,-0.2957,False,8,106
2026-03,118,0.1102,0.5336,0.4664,6.0636,-0.1847,False,13,118
