month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2019-02,2.2739,True,48,0.3542,0.0,1.0,-0.0322639516569118,-0.0747935814014741,-0.0463182596730453,0.0768572933204243,14.779999732971191,Q4 (highest)
2019-03,3.244,True,81,0.2716,0.0,1.0,0.0440741552178216,-0.0419270721058004,-0.0627011423964251,-0.0322639516569118,13.710000038146973,Q4 (highest)
2019-04,2.2739,True,75,0.2267,0.0,1.0,-0.0843059912908601,-0.0656184673842663,-0.0535833555330099,0.0440741552178216,13.119999885559082,Q4 (highest)
2019-05,2.0023,True,92,0.1957,0.1333,0.8667,0.0021133561408503,0.03077726349063,0.0758204734277701,-0.0843059912908601,18.709999084472656,Q4 (highest)
2019-11,1.6918,True,57,0.2456,0.0,1.0,-0.0015345939974704,0.0461046405856342,0.0730554189465375,0.0408971225556247,12.619999885559082,Q4 (highest)
2019-12,2.4679,True,61,0.2951,0.0,1.0,0.1209419382243108,-0.1147321547142462,0.1518074115100376,-0.0015345939974704,13.779999732971191,Q4 (highest)
2020-02,1.9037,True,315,0.1714,0.7205,0.2795,-0.155046938641443,0.02576298518838,0.6000589146528938,-0.0653285258574229,40.11000061035156,Q4 (highest)
2020-03,2.2235,True,553,0.1356,0.7768,0.2232,0.1248090322079742,0.3010835281589248,0.7455204093450474,-0.155046938641443,53.540000915527344,Q4 (highest)
2020-07,1.942,True,343,0.1166,0.6178,0.3822,0.399281727712077,0.1920451467275798,0.1576085380273741,0.040142994318147,24.459999084472656,Q4 (highest)
2024-11,2.2786,True,267,0.1648,0.6131,0.3869,0.0131519512913114,-0.0963669250351482,-0.1936414578413621,0.1325462476499108,13.510000228881836,Q4 (highest)
2024-12,2.0782,True,241,0.1826,0.6366,0.3634,0.0232103283978841,-0.1964041372680085,-0.1821550187321209,0.0131519512913114,17.350000381469727,Q4 (highest)
