month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,28,0.3571,0.0,1.0,10.0,0.8399,False,10,28
2019-02,48,0.3542,0.0,1.0,17.0,2.1434,True,17,48
2019-03,81,0.2716,0.0,1.0,22.0,3.0745,True,22,81
2019-04,75,0.2267,0.0,1.0,17.0,2.1434,True,17,75
2019-05,92,0.1957,0.1548,0.8452,15.2141,1.8109,True,18,92
2019-06,86,0.1977,0.3936,0.6064,10.3094,0.8976,False,17,86
2019-07,75,0.1467,0.4728,0.5272,5.7989,0.0576,False,11,75
2019-08,53,0.1321,0.4316,0.5684,3.9791,-0.2812,False,7,53
2019-09,34,0.0588,0.0,1.0,2.0,-0.6498,False,2,34
2019-10,48,0.2292,0.2197,0.7803,8.5828,0.576,False,11,48
2019-11,57,0.2456,0.0,1.0,14.0,1.5848,True,14,57
2019-12,61,0.2951,0.0,1.0,18.0,2.3296,True,18,61
2020-01,104,0.2115,0.5885,0.4115,9.0528,0.6636,False,22,104
2020-02,192,0.2135,0.5773,0.4227,17.3288,2.2047,True,41,192
2020-03,322,0.1739,0.661,0.339,18.9819,2.5125,True,56,322
2020-04,357,0.1569,0.7602,0.2398,13.4315,1.4789,False,56,357
2020-05,319,0.1599,0.8056,0.1944,9.9133,0.8238,False,51,319
2020-06,281,0.1673,0.8296,0.1704,8.0083,0.4691,False,47,281
2020-07,244,0.1598,0.6491,0.3509,13.6853,1.5262,True,39,244
2020-08,251,0.1713,0.9311,0.0689,2.961,-0.4708,False,43,251
2020-09,269,0.1896,0.9357,0.0643,3.2776,-0.4118,False,51,269
2020-10,278,0.205,0.958,0.042,2.3917,-0.5768,False,57,278
2020-11,243,0.144,0.982,0.018,0.6289,-0.9051,False,35,243
2020-12,159,0.1069,0.952,0.048,0.8163,-0.8702,False,17,159
2021-01,189,0.0582,0.8429,0.1571,1.728,-0.7004,False,11,189
2021-02,241,0.0581,0.8622,0.1378,1.9291,-0.663,False,14,241
2021-03,220,0.0591,0.975,0.025,0.3246,-0.9617,False,13,220
2021-04,174,0.0632,0.9681,0.0319,0.3506,-0.9569,False,11,174
2021-05,131,0.0611,0.9528,0.0472,0.3774,-0.9519,False,8,131
2021-06,155,0.0516,0.9528,0.0472,0.3774,-0.9519,False,8,155
2021-07,170,0.0529,0.9183,0.0817,0.7353,-0.8853,False,9,170
2021-08,168,0.0476,0.875,0.125,1.0,-0.836,False,8,168
2021-09,181,0.0442,0.875,0.125,1.0,-0.836,False,8,181
2021-10,203,0.0345,0.6894,0.3106,2.1743,-0.6173,False,7,203
2021-11,214,0.0327,0.4316,0.5684,3.9791,-0.2812,False,7,214
2021-12,218,0.0459,0.6805,0.3195,3.1952,-0.4272,False,10,218
2022-01,209,0.0431,0.6122,0.3878,3.4902,-0.3723,False,9,209
2022-02,172,0.0407,0.2958,0.7042,4.9291,-0.1043,False,7,172
2022-03,146,0.0479,0.9212,0.0788,0.5517,-0.9194,False,7,146
2022-04,128,0.0703,0.7652,0.2348,2.1128,-0.6288,False,9,128
2022-05,165,0.0848,0.7653,0.2347,3.2857,-0.4103,False,14,165
2022-06,207,0.0966,0.6805,0.3195,6.3904,0.1678,False,20,207
2022-07,246,0.0854,0.6108,0.3892,8.1722,0.4996,False,21,246
2022-08,208,0.101,0.704,0.296,6.2162,0.1354,False,21,208
2022-09,198,0.0909,0.5675,0.4325,7.7853,0.4275,False,18,198
2022-10,183,0.1038,0.5949,0.4051,7.6975,0.4112,False,19,183
2022-11,238,0.0882,0.5244,0.4756,9.9872,0.8376,False,21,238
2022-12,252,0.0992,0.7828,0.2172,5.429,-0.0112,False,25,252
2023-01,260,0.1269,0.8244,0.1756,5.7944,0.0568,False,33,260
2023-02,224,0.1295,0.8983,0.1017,2.9507,-0.4727,False,29,224
2023-03,235,0.1234,0.9161,0.0839,2.4336,-0.569,False,29,235
2023-04,241,0.0954,0.9315,0.0685,1.5758,-0.7287,False,23,241
2023-05,299,0.0936,0.9058,0.0942,2.6371,-0.5311,False,28,299
2023-06,353,0.102,0.9888,0.0112,0.4036,-0.947,False,36,353
2023-07,349,0.1175,0.9874,0.0126,0.5146,-0.9264,False,41,349
2023-08,278,0.1259,0.982,0.018,0.6289,-0.9051,False,35,278
2023-09,186,0.1237,0.9566,0.0434,0.9986,-0.8362,False,23,186
2023-10,238,0.1303,0.9349,0.0651,2.0177,-0.6465,False,31,238
