month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2017-01,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2017-02,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2017-03,3,0.0,1.0,0.0,0.0,-0.6951,False,0,3
2017-04,3,0.0,1.0,0.0,0.0,-0.6951,False,0,3
2017-05,3,0.0,1.0,0.0,0.0,-0.6951,False,0,3
2017-06,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2017-07,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2017-08,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2017-09,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2017-10,5,0.0,1.0,0.0,0.0,-0.6951,False,0,5
2017-11,14,0.0,1.0,0.0,0.0,-0.6951,False,0,14
2017-12,14,0.0,1.0,0.0,0.0,-0.6951,False,0,14
2018-01,9,0.0,1.0,0.0,0.0,-0.6951,False,0,9
2018-02,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-03,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-04,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-05,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-06,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-07,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-08,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-09,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-10,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-11,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2018-12,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2019-01,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2019-02,10,0.0,1.0,0.0,0.0,-0.6951,False,0,10
2019-03,10,0.0,1.0,0.0,0.0,-0.6951,False,0,10
2019-04,10,0.0,1.0,0.0,0.0,-0.6951,False,0,10
2019-05,2,0.0,1.0,0.0,0.0,-0.6951,False,0,2
2019-06,2,0.0,1.0,0.0,0.0,-0.6951,False,0,2
2019-07,2,0.0,1.0,0.0,0.0,-0.6951,False,0,2
2019-08,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
2019-09,0,0.0,1.0,0.0,0.0,-0.6951,False,0,0
