month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-08,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2019-09,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2019-10,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2019-11,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2019-12,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2020-01,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2020-02,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2020-03,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2020-04,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2020-05,0,0.0,1.0,0.0,0.0,-0.9822,False,0,0
2020-06,16,0.3125,0.0,1.0,5.0,-0.3549,False,5,16
2020-07,17,0.2941,0.0,1.0,5.0,-0.3549,False,5,17
2020-08,23,0.3043,0.0,1.0,7.0,-0.104,False,7,23
2020-09,19,0.1579,0.0,1.0,3.0,-0.6059,False,3,19
2020-10,61,0.1639,0.0,1.0,10.0,0.2723,False,10,61
2020-11,88,0.1023,0.2516,0.7484,6.7353,-0.1372,False,9,88
2020-12,103,0.1068,0.4227,0.5773,6.3506,-0.1855,False,11,103
2021-01,73,0.0685,0.361,0.639,3.1952,-0.5814,False,5,73
2021-02,72,0.125,0.3821,0.6179,5.5611,-0.2846,False,9,72
2021-03,66,0.1667,0.4728,0.5272,5.7989,-0.2547,False,11,66
2021-04,63,0.1746,0.497,0.503,5.5328,-0.2881,False,11,63
2021-05,44,0.0909,0.5,0.5,2.0,-0.7313,False,4,44
2021-06,70,0.1,0.4926,0.5074,3.5517,-0.5366,False,7,70
2021-07,64,0.1094,0.4926,0.5074,3.5517,-0.5366,False,7,64
2021-08,48,0.1458,0.4926,0.5074,3.5517,-0.5366,False,7,48
2021-09,9,0.2222,0.0,1.0,2.0,-0.7313,False,2,9
2021-10,4,0.25,0.0,1.0,1.0,-0.8568,False,1,4
2021-11,6,0.1667,0.0,1.0,1.0,-0.8568,False,1,6
2021-12,6,0.1667,0.0,1.0,1.0,-0.8568,False,1,6
2022-01,8,0.25,0.5,0.5,1.0,-0.8568,False,2,8
2022-02,34,0.3235,0.4728,0.5272,5.7989,-0.2547,False,11,34
2022-03,37,0.2703,0.4406,0.5594,5.5935,-0.2805,False,10,37
2022-04,44,0.2045,0.4591,0.5409,4.8677,-0.3715,False,9,44
2022-05,20,0.1,0.0,1.0,2.0,-0.7313,False,2,20
2022-06,25,0.16,0.0,1.0,4.0,-0.4804,False,4,25
