month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,476,0.1218,0.6834,0.3166,18.3608,-1.6493,False,58,476
2019-02,885,0.1028,0.6462,0.3538,32.192,-1.5373,False,91,885
2019-03,1235,0.115,0.6342,0.3658,51.9452,-1.3772,False,142,1235
2019-04,1191,0.1134,0.6179,0.3821,51.5865,-1.3801,False,135,1191
2019-05,1324,0.1367,0.7054,0.2946,53.3222,-1.3661,False,181,1324
2019-06,1606,0.1426,0.7157,0.2843,65.1079,-1.2706,False,229,1606
2019-07,1952,0.1547,0.7174,0.2826,85.3453,-1.1067,False,302,1952
2019-08,2130,0.1817,0.6987,0.3013,116.5928,-0.8535,False,387,2130
2019-09,2073,0.178,0.64,0.36,132.8292,-0.722,False,369,2073
2019-10,2189,0.1782,0.6174,0.3826,149.2051,-0.5893,False,390,2189
2019-11,2012,0.16,0.6023,0.3977,128.0727,-0.7605,False,322,2012
2019-12,1818,0.1683,0.6234,0.3766,115.2331,-0.8646,False,306,1818
2020-01,1836,0.1629,0.6366,0.3634,108.6628,-0.9178,False,299,1836
2020-02,2079,0.1664,0.6386,0.3614,125.0588,-0.785,False,346,2079
2020-03,2534,0.1701,0.6374,0.3626,156.29,-0.532,False,431,2534
2020-04,2555,0.1718,0.6422,0.3578,157.0721,-0.5256,False,439,2555
2020-05,2598,0.1605,0.6307,0.3693,154.0058,-0.5505,False,417,2598
2020-06,2437,0.1588,0.651,0.349,135.0509,-0.704,False,387,2437
2020-07,2671,0.1557,0.6358,0.3642,151.5015,-0.5707,False,416,2671
2020-08,2370,0.1612,0.6629,0.3371,128.7765,-0.7548,False,382,2370
2020-09,2257,0.1626,0.6357,0.3643,133.7016,-0.7149,False,367,2257
2020-10,2107,0.1618,0.6747,0.3253,110.9364,-0.8994,False,341,2107
2020-11,2150,0.1558,0.6112,0.3888,130.2592,-0.7428,False,335,2150
2020-12,1996,0.1453,0.6255,0.3745,108.6173,-0.9181,False,290,1996
