month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-12,1,0.0,1.0,0.0,0.0,-1.0853,False,0,1
2020-01,1,0.0,1.0,0.0,0.0,-1.0853,False,0,1
2020-02,4,0.25,0.0,1.0,1.0,-0.9367,False,1,4
2020-03,11,0.1818,0.0,1.0,2.0,-0.7882,False,2,11
2020-04,54,0.1111,0.4307,0.5693,3.4159,-0.5778,False,6,54
2020-05,126,0.381,0.4258,0.5742,27.5611,3.0094,True,48,126
2020-06,186,0.3441,0.4231,0.5769,36.9241,4.4004,True,64,186
2020-07,167,0.3653,0.4205,0.5795,35.3484,4.1663,True,61,167
2020-08,82,0.122,0.3796,0.6204,6.2045,-0.1635,False,10,82
2020-09,27,0.0,1.0,0.0,0.0,-1.0853,False,0,27
2020-10,18,0.1667,0.3955,0.6045,1.8135,-0.8159,False,3,18
2020-11,20,0.15,0.3955,0.6045,1.8135,-0.8159,False,3,20
2020-12,21,0.2857,0.2799,0.7201,4.3203,-0.4434,False,6,21
2021-01,16,0.375,0.2799,0.7201,4.3203,-0.4434,False,6,16
2021-02,24,0.3333,0.3494,0.6506,5.2048,-0.312,False,8,24
2021-03,17,0.2941,0.4182,0.5818,2.9092,-0.6531,False,5,17
2021-04,19,0.3158,0.3955,0.6045,3.6271,-0.5464,False,6,19
2021-05,17,0.2353,0.3494,0.6506,2.6024,-0.6987,False,4,17
2021-06,18,0.2222,0.3494,0.6506,2.6024,-0.6987,False,4,18
2021-07,50,0.04,0.0,1.0,2.0,-0.7882,False,2,50
2021-08,59,0.1017,0.2799,0.7201,4.3203,-0.4434,False,6,59
2021-09,71,0.0986,0.2548,0.7452,5.2163,-0.3103,False,7,71
2021-10,47,0.1277,0.2799,0.7201,4.3203,-0.4434,False,6,47
2021-11,40,0.05,0.0,1.0,2.0,-0.7882,False,2,40
2021-12,44,0.0455,0.0,1.0,2.0,-0.7882,False,2,44
2022-01,44,0.0227,0.0,1.0,1.0,-0.9367,False,1,44
2022-02,87,0.046,0.0,1.0,4.0,-0.491,False,4,87
2022-03,83,0.0482,0.0,1.0,4.0,-0.491,False,4,83
2022-04,84,0.0595,0.0,1.0,5.0,-0.3425,False,5,84
2022-05,42,0.119,0.0,1.0,5.0,-0.3425,False,5,42
2022-06,76,0.2105,0.3859,0.6141,9.8256,0.3745,False,16,76
2022-07,129,0.1938,0.6146,0.3854,9.636,0.3463,False,25,129
2022-08,185,0.1784,0.5797,0.4203,13.8707,0.9754,False,33,185
