month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,3020,0.1351,0.5523,0.4477,182.6701,-0.7636,False,408,3020
2019-02,5556,0.1269,0.6085,0.3915,275.9853,0.2088,False,705,5556
2019-03,8082,0.1204,0.6294,0.3706,360.5588,1.0901,False,973,8082
2019-04,8244,0.119,0.6379,0.3621,355.2243,1.0345,False,981,8244
2019-05,8749,0.1248,0.6472,0.3528,385.2328,1.3472,False,1092,8749
2019-06,9175,0.1309,0.6731,0.3269,392.6244,1.4242,False,1201,9175
2019-07,9611,0.1289,0.6866,0.3134,388.3355,1.3795,False,1239,9611
2019-08,9950,0.1309,0.6759,0.3241,421.9716,1.73,True,1302,9950
2019-09,10088,0.1291,0.6391,0.3609,469.8369,2.2288,True,1302,10088
2019-10,10329,0.1324,0.6061,0.3939,538.8287,2.9478,True,1368,10329
2019-11,10125,0.1246,0.6205,0.3795,478.949,2.3238,True,1262,10125
2019-12,8731,0.1262,0.639,0.361,397.788,1.478,False,1102,8731
2020-01,7896,0.1168,0.6983,0.3017,278.1744,0.2316,False,922,7896
2020-02,7518,0.1218,0.698,0.302,276.6142,0.2153,False,916,7518
2020-03,7703,0.1231,0.6917,0.3083,292.2387,0.3781,False,948,7703
2020-04,8404,0.1284,0.6742,0.3258,351.5022,0.9957,False,1079,8404
2020-05,8428,0.1238,0.6794,0.3206,334.4249,0.8177,False,1043,8428
2020-06,9604,0.1283,0.6757,0.3243,399.5594,1.4965,False,1232,9604
2020-07,10036,0.126,0.6606,0.3394,429.362,1.8071,True,1265,10036
2020-08,10321,0.1272,0.6667,0.3333,437.6387,1.8933,True,1313,10321
2020-09,9849,0.1184,0.6789,0.3211,374.4048,1.2344,False,1166,9849
2020-10,9207,0.1136,0.7163,0.2837,296.7918,0.4256,False,1046,9207
2020-11,8870,0.1071,0.7328,0.2672,253.8571,-0.0218,False,950,8870
2020-12,7821,0.1093,0.7425,0.2575,220.1364,-0.3732,False,855,7821
2021-01,7658,0.1153,0.7396,0.2604,229.9631,-0.2708,False,883,7658
2021-02,8025,0.1212,0.7282,0.2718,264.4457,0.0885,False,973,8025
2021-03,8682,0.1182,0.7243,0.2757,282.9119,0.2809,False,1026,8682
2021-04,9246,0.11,0.7222,0.2778,282.5376,0.277,False,1017,9246
2021-05,9213,0.0979,0.7172,0.2828,255.0884,-0.009,False,902,9213
2021-06,8746,0.1018,0.7065,0.2935,261.2248,0.0549,False,890,8746
2021-07,7939,0.1079,0.6675,0.3325,284.9277,0.3019,False,857,7939
2021-08,6862,0.1119,0.6696,0.3304,253.734,-0.0231,False,768,6862
2021-09,6808,0.1075,0.6933,0.3067,224.4982,-0.3278,False,732,6808
2021-10,6707,0.1039,0.7407,0.2593,180.758,-0.7836,False,697,6707
2021-11,6769,0.1174,0.7357,0.2643,210.0905,-0.4779,False,795,6769
2021-12,5997,0.1164,0.7401,0.2599,181.394,-0.7769,False,698,5997
2022-01,5545,0.1217,0.7178,0.2822,190.4768,-0.6823,False,675,5545
2022-02,5544,0.1115,0.7321,0.2679,165.5767,-0.9418,False,618,5544
2022-03,6695,0.1138,0.6788,0.3212,244.7649,-0.1166,False,762,6695
2022-04,7510,0.1041,0.7059,0.2941,229.9807,-0.2706,False,782,7510
2022-05,7832,0.1107,0.7024,0.2976,257.986,0.0212,False,867,7832
2022-06,8073,0.1104,0.7345,0.2655,236.5454,-0.2022,False,891,8073
2022-07,8237,0.1253,0.7042,0.2958,305.3012,0.5143,False,1032,8237
2022-08,7788,0.1234,0.7273,0.2727,262.0961,0.064,False,961,7788
2022-09,7670,0.1256,0.7162,0.2838,273.2741,0.1805,False,963,7670
2022-10,7446,0.1211,0.7376,0.2624,236.6447,-0.2012,False,902,7446
2022-11,7569,0.1201,0.7263,0.2737,248.8136,-0.0744,False,909,7569
2022-12,6954,0.1319,0.7445,0.2555,234.2787,-0.2259,False,917,6954
2023-01,6552,0.138,0.7465,0.2535,229.1951,-0.2788,False,904,6552
2023-02,6804,0.1389,0.7574,0.2426,229.2301,-0.2785,False,945,6804
2023-03,9068,0.1285,0.7316,0.2684,312.6452,0.5908,False,1165,9068
2023-04,9696,0.1239,0.696,0.304,365.0485,1.1369,False,1201,9696
2023-05,9642,0.1142,0.6881,0.3119,343.4196,0.9115,False,1101,9642
2023-06,9461,0.1166,0.6778,0.3222,355.3726,1.036,False,1103,9461
2023-07,9145,0.1203,0.6839,0.3161,347.7102,0.9562,False,1100,9145
2023-08,8877,0.1381,0.7039,0.2961,363.045,1.116,False,1226,8877
2023-09,7712,0.1376,0.755,0.245,259.9368,0.0415,False,1061,7712
2023-10,7374,0.1356,0.7992,0.2008,200.8269,-0.5744,False,1000,7374
2023-11,7394,0.1224,0.8185,0.1815,164.2407,-0.9557,False,905,7394
2023-12,7017,0.1211,0.7909,0.2091,177.7209,-0.8152,False,850,7017
2024-01,6540,0.1183,0.7496,0.2504,193.8122,-0.6475,False,774,6540
2024-02,6673,0.1265,0.7477,0.2523,212.9069,-0.4486,False,844,6673
2024-03,7404,0.1364,0.7341,0.2659,268.5234,0.131,False,1010,7404
2024-04,7622,0.1362,0.7799,0.2201,228.4399,-0.2867,False,1038,7622
2024-05,7686,0.1382,0.8053,0.1947,206.7296,-0.5129,False,1062,7686
2024-06,8014,0.1378,0.8475,0.1525,168.3472,-0.9129,False,1104,8014
2024-07,8081,0.1428,0.8369,0.1631,188.1867,-0.7062,False,1154,8081
2024-08,7865,0.1469,0.8463,0.1537,177.5338,-0.8172,False,1155,7865
2024-09,7479,0.1416,0.8643,0.1357,143.6824,-1.1699,False,1059,7479
2024-10,7570,0.1308,0.8772,0.1228,121.5412,-1.4007,False,990,7570
2024-11,7780,0.135,0.8603,0.1397,146.7299,-1.1382,False,1050,7780
2024-12,7113,0.1399,0.8237,0.1763,175.409,-0.8393,False,995,7113
2025-01,6820,0.1455,0.8085,0.1915,189.9673,-0.6876,False,992,6820
2025-02,6884,0.1408,0.8308,0.1692,163.9688,-0.9585,False,969,6884
2025-03,8322,0.1431,0.8121,0.1879,223.7366,-0.3357,False,1191,8322
2025-04,8772,0.1409,0.8011,0.1989,245.8452,-0.1053,False,1236,8772
2025-05,8392,0.1381,0.8052,0.1948,225.7844,-0.3144,False,1159,8392
2025-06,6517,0.1315,0.846,0.154,132.0199,-1.2915,False,857,6517
2025-07,5864,0.1354,0.8452,0.1548,122.9136,-1.3864,False,794,5864
2025-08,5983,0.1412,0.8666,0.1334,112.7491,-1.4923,False,845,5983
2025-09,5971,0.1352,0.8661,0.1339,108.0582,-1.5412,False,807,5971
2025-10,6138,0.1323,0.848,0.152,123.4214,-1.3811,False,812,6138
2025-11,5812,0.1345,0.8388,0.1612,126.0231,-1.3539,False,782,5812
