month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2021-10,169,0.0296,0.361,0.639,3.1952,-0.8165,False,5,169
2021-11,343,0.0233,0.4772,0.5228,4.1823,-0.525,False,8,343
2021-12,463,0.0173,0.5,0.5,4.0,-0.5788,False,8,463
2022-01,480,0.0146,0.7244,0.2756,1.9291,-1.1905,False,7,480
2022-02,515,0.0136,0.7244,0.2756,1.9291,-1.1905,False,7,515
2022-03,581,0.0224,0.7286,0.2714,3.5278,-0.7183,False,13,581
2022-04,562,0.0285,0.7099,0.2901,4.6421,-0.3892,False,16,562
2022-05,600,0.0267,0.7806,0.2194,3.5098,-0.7236,False,16,600
2022-06,573,0.0244,0.7887,0.2113,2.9582,-0.8865,False,14,573
2022-07,572,0.021,0.7296,0.2704,3.2451,-0.8018,False,12,572
2022-08,501,0.018,0.6758,0.3242,2.9176,-0.8985,False,9,501
2022-09,569,0.0228,0.6479,0.3521,4.5777,-0.4082,False,13,569
2022-10,623,0.0289,0.6258,0.3742,6.7353,0.2291,False,18,623
2022-11,685,0.038,0.6746,0.3254,8.4606,0.7387,False,26,685
2022-12,625,0.0304,0.8082,0.1918,3.6447,-0.6838,False,19,625
2023-01,641,0.0328,0.8002,0.1998,4.1953,-0.5211,False,21,641
2023-02,646,0.0279,0.8826,0.1174,2.1128,-1.1363,False,18,646
2023-03,852,0.027,0.8426,0.1574,3.6211,-0.6907,False,23,852
2023-04,809,0.0272,0.7645,0.2355,5.1814,-0.2299,False,22,809
2023-05,759,0.0329,0.6366,0.3634,9.0841,0.9229,False,25,759
2023-06,788,0.0355,0.727,0.273,7.6437,0.4974,False,28,788
2023-07,833,0.0312,0.8643,0.1357,3.5278,-0.7183,False,26,833
2023-08,801,0.0275,0.9389,0.0611,1.3432,-1.3636,False,22,801
2023-09,725,0.0317,0.9252,0.0748,1.721,-1.252,False,23,725
2023-10,725,0.0317,0.871,0.129,2.9661,-0.8842,False,23,725
2023-11,794,0.0315,0.8014,0.1986,4.9658,-0.2936,False,25,794
2023-12,782,0.0358,0.6419,0.3581,10.0256,1.201,False,28,782
2024-01,841,0.0369,0.7648,0.2352,7.2917,0.3935,False,31,841
2024-02,848,0.033,0.7366,0.2634,7.3754,0.4182,False,28,848
2024-03,821,0.0305,0.7847,0.2153,5.3821,-0.1706,False,25,821
2024-04,725,0.0317,0.6689,0.3311,7.6156,0.4891,False,23,725
2024-05,669,0.0329,0.7113,0.2887,6.3506,0.1155,False,22,669
2024-06,714,0.0252,0.8379,0.1621,2.9176,-0.8985,False,18,714
2024-07,737,0.0244,0.8611,0.1389,2.4996,-1.022,False,18,737
2024-08,885,0.0181,0.8514,0.1486,2.3774,-1.0581,False,16,885
2024-09,921,0.0195,0.6736,0.3264,5.875,-0.025,False,18,921
2024-10,894,0.028,0.4581,0.5419,13.5485,2.2415,True,25,894
2024-11,747,0.0361,0.3627,0.6373,17.2074,3.3223,True,27,747
2024-12,644,0.0311,0.2345,0.7655,15.31,2.7618,True,20,644
2025-01,657,0.0244,0.4342,0.5658,9.0529,0.9137,False,16,657
2025-02,702,0.0228,0.5306,0.4694,7.5098,0.4579,False,16,702
2025-03,799,0.025,0.5906,0.4094,8.1871,0.6579,False,20,799
2025-04,807,0.0297,0.588,0.412,9.8872,1.1601,False,24,807
2025-05,769,0.026,0.6595,0.3405,6.8096,0.2511,False,20,769
2025-06,685,0.0263,0.7638,0.2362,4.2524,-0.5043,False,18,685
2025-07,666,0.03,0.703,0.297,5.9399,-0.0058,False,20,666
2025-08,639,0.0376,0.6494,0.3506,8.4145,0.7251,False,24,639
2025-09,547,0.0402,0.559,0.441,9.7011,1.1051,False,22,547
2025-10,513,0.039,0.4421,0.5579,11.1582,1.5355,True,20,513
2025-11,538,0.0409,0.6907,0.3093,6.8039,0.2494,False,22,538
2025-12,552,0.0489,0.7978,0.2022,5.4605,-0.1474,False,27,552
2026-01,591,0.0491,0.8046,0.1954,5.6658,-0.0868,False,29,591
2026-02,649,0.0539,0.8281,0.1719,6.0165,0.0168,False,35,649
2026-03,766,0.0614,0.8432,0.1568,7.368,0.416,False,47,766
