month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2023-02,1.6835,True,1943,0.2136,0.2698,0.7302,0.11263836561418272,0.40220505228167025,0.8198739023369062,-0.02189441339998166,20.700000762939453,Q4 (highest)
2023-03,1.9996,True,2254,0.2458,0.4122,0.5878,0.029341162233815554,0.7629975928395749,0.48361355780614845,0.11263836561418272,18.700000762939453,Q4 (highest)
2023-04,1.7926,True,2440,0.2344,0.4566,0.5434,0.2243290561966127,0.7644606686536497,0.4360309497273276,0.029341162233815554,15.779999732971191,Q4 (highest)
2023-09,1.7252,True,2081,0.1917,0.233,0.767,-0.0036719744042692515,0.1821257833221861,0.03695145387774268,-0.09294519689481029,17.520000457763672,Q4 (highest)
2023-10,1.6305,True,1934,0.2058,0.2481,0.7519,0.2064772473160179,0.16230881125445862,0.05975215925218258,-0.0036719744042692515,18.139999389648438,Q4 (highest)
2023-11,1.6332,True,1960,0.1939,0.212,0.788,-0.0165728202547345,0.07658632098379736,-0.432193190206422,0.2064772473160179,12.920000076293945,Q4 (highest)
2023-12,1.5303,True,1749,0.2081,0.1976,0.8024,-0.02037426186985236,-0.1228078530158212,-0.3886266283909985,-0.0165728202547345,12.449999809265137,Q4 (highest)
2026-01,1.5207,True,1446,0.2337,0.1379,0.8621,-0.11542290388988397,-0.3915115796761288,,-0.11522794345307819,17.440000534057617,Q4 (highest)
2026-02,1.5381,True,1597,0.2179,0.1591,0.8409,-0.25481778134132593,,,-0.11542290388988397,19.860000610351562,Q4 (highest)
2026-03,2.2655,True,1898,0.2171,0.1635,0.8365,-0.07688853615931479,,,-0.25481778134132593,25.25,Q4 (highest)
