month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,413,0.1889,0.2755,0.7245,56.5123,-1.7654,False,78,413
2019-02,691,0.1939,0.2642,0.7358,98.6031,-1.1765,False,134,691
2019-03,987,0.1672,0.2632,0.7368,121.5697,-0.8552,False,165,987
2019-04,980,0.151,0.2629,0.7371,109.0939,-1.0297,False,148,980
2019-05,1001,0.1399,0.2177,0.7823,109.5204,-1.0238,False,140,1001
2019-06,1022,0.1321,0.2209,0.7791,105.1731,-1.0846,False,135,1022
2019-07,1040,0.1115,0.2922,0.7078,82.1104,-1.4072,False,116,1040
2019-08,1083,0.1016,0.379,0.621,68.3047,-1.6004,False,110,1083
2019-09,1069,0.102,0.358,0.642,69.978,-1.577,False,109,1069
2019-10,1236,0.123,0.3662,0.6338,96.3448,-1.2081,False,152,1236
2019-11,1407,0.1258,0.2934,0.7066,125.0756,-0.8062,False,177,1407
2019-12,1498,0.1322,0.3702,0.6298,124.6918,-0.8115,False,198,1498
2020-01,1509,0.1412,0.2729,0.7271,154.8794,-0.3892,False,213,1509
2020-02,1670,0.1491,0.2787,0.7213,179.5992,-0.0434,False,249,1670
2020-03,1702,0.1481,0.2353,0.7647,192.7169,0.1401,False,252,1702
2020-04,1644,0.1375,0.3093,0.6907,156.102,-0.3721,False,226,1644
2020-05,1486,0.1326,0.4493,0.5507,108.4965,-1.0381,False,197,1486
2020-06,1443,0.1407,0.4689,0.5311,107.8183,-1.0476,False,203,1443
2020-07,1481,0.1506,0.4283,0.5717,127.4905,-0.7724,False,223,1481
2020-08,1428,0.1681,0.3391,0.6609,158.607,-0.3371,False,240,1428
2020-09,1441,0.2006,0.3682,0.6318,182.5982,-0.0014,False,289,1441
2020-10,1434,0.2071,0.3557,0.6443,191.3429,0.1209,False,297,1434
2020-11,1362,0.2041,0.4069,0.5931,164.8938,-0.2491,False,278,1362
2020-12,1166,0.1921,0.3713,0.6287,140.8381,-0.5856,False,224,1166
2021-01,1164,0.1924,0.4332,0.5668,126.9576,-0.7798,False,224,1164
