month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2016-01,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-02,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-03,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-04,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-05,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-06,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-07,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-08,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-09,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-10,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2016-11,64,0.2188,0.0,1.0,14.0,1.0254,False,14,64
2016-12,87,0.2299,0.0,1.0,20.0,1.6353,True,20,87
2017-01,82,0.2317,0.0,1.0,19.0,1.5337,True,19,82
2017-02,23,0.2609,0.0,1.0,6.0,0.2121,False,6,23
2017-03,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2017-04,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2017-05,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2017-06,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2017-07,3,0.3333,0.0,1.0,1.0,-0.2962,False,1,3
2017-08,23,0.0435,0.0,1.0,1.0,-0.2962,False,1,23
2017-09,23,0.0435,0.0,1.0,1.0,-0.2962,False,1,23
2017-10,20,0.0,1.0,0.0,0.0,-0.3978,False,0,20
2017-11,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2017-12,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2018-01,12,0.0,1.0,0.0,0.0,-0.3978,False,0,12
2018-02,20,0.0,1.0,0.0,0.0,-0.3978,False,0,20
2018-03,23,0.0,1.0,0.0,0.0,-0.3978,False,0,23
2018-04,11,0.0,1.0,0.0,0.0,-0.3978,False,0,11
2018-05,5,0.0,1.0,0.0,0.0,-0.3978,False,0,5
2018-06,9,0.0,1.0,0.0,0.0,-0.3978,False,0,9
2018-07,20,0.0,1.0,0.0,0.0,-0.3978,False,0,20
2018-08,25,0.0,1.0,0.0,0.0,-0.3978,False,0,25
2018-09,22,0.0,1.0,0.0,0.0,-0.3978,False,0,22
2018-10,26,0.0,1.0,0.0,0.0,-0.3978,False,0,26
2018-11,39,0.0256,0.0,1.0,1.0,-0.2962,False,1,39
2018-12,45,0.0222,0.0,1.0,1.0,-0.2962,False,1,45
2019-01,34,0.0294,0.0,1.0,1.0,-0.2962,False,1,34
2019-02,15,0.0,1.0,0.0,0.0,-0.3978,False,0,15
2019-03,1,0.0,1.0,0.0,0.0,-0.3978,False,0,1
2019-04,1,0.0,1.0,0.0,0.0,-0.3978,False,0,1
2019-05,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2019-06,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2019-07,0,0.0,1.0,0.0,0.0,-0.3978,False,0,0
2019-08,3,0.0,1.0,0.0,0.0,-0.3978,False,0,3
2019-09,13,0.3846,0.0,1.0,5.0,0.1105,False,5,13
2019-10,23,0.2174,0.0,1.0,5.0,0.1105,False,5,23
2019-11,23,0.2174,0.0,1.0,5.0,0.1105,False,5,23
2019-12,20,0.05,0.0,1.0,1.0,-0.2962,False,1,20
2020-01,54,0.0926,0.0,1.0,5.0,0.1105,False,5,54
2020-02,62,0.0968,0.0,1.0,6.0,0.2121,False,6,62
2020-03,56,0.0893,0.0,1.0,5.0,0.1105,False,5,56
2020-04,36,0.0556,0.5,0.5,1.0,-0.2962,False,2,36
2020-05,47,0.0213,0.0,1.0,1.0,-0.2962,False,1,47
2020-06,71,0.0141,0.0,1.0,1.0,-0.2962,False,1,71
2020-07,59,0.0169,0.0,1.0,1.0,-0.2962,False,1,59
2020-08,40,0.025,0.0,1.0,1.0,-0.2962,False,1,40
2020-09,28,0.0357,0.0,1.0,1.0,-0.2962,False,1,28
2020-10,25,0.04,0.0,1.0,1.0,-0.2962,False,1,25
2020-11,17,0.0588,0.0,1.0,1.0,-0.2962,False,1,17
2020-12,8,0.125,0.0,1.0,1.0,-0.2962,False,1,8
2021-01,13,0.5385,0.2958,0.7042,4.9291,0.1033,False,7,13
2021-02,17,0.4706,0.4056,0.5944,4.7549,0.0855,False,8,17
2021-03,24,0.375,0.3821,0.6179,5.5611,0.1675,False,9,24
2021-04,22,0.1364,0.4591,0.5409,1.6226,-0.2329,False,3,22
2021-05,20,0.1,0.5,0.5,1.0,-0.2962,False,2,20
2021-06,13,0.0,1.0,0.0,0.0,-0.3978,False,0,13
2021-07,15,0.0667,0.0,1.0,1.0,-0.2962,False,1,15
2021-08,11,0.0909,0.0,1.0,1.0,-0.2962,False,1,11
2021-09,38,0.1316,0.0,1.0,5.0,0.1105,False,5,38
2021-10,35,0.1143,0.0,1.0,4.0,0.0088,False,4,35
2021-11,40,0.1,0.0,1.0,4.0,0.0088,False,4,40
2021-12,18,0.0,1.0,0.0,0.0,-0.3978,False,0,18
2022-01,108,0.2407,0.0,1.0,26.0,2.2453,True,26,108
2022-02,214,0.257,0.0,1.0,55.0,5.1934,True,55,214
2022-03,252,0.2937,0.0,1.0,74.0,7.1249,True,74,252
2022-04,164,0.3049,0.0707,0.9293,46.464,4.3256,True,50,164
2022-05,35,0.2571,0.2516,0.7484,6.7353,0.2869,False,9,35
2022-06,33,0.4545,0.1767,0.8233,12.3498,0.8576,False,15,33
2022-07,44,0.3636,0.0,1.0,16.0,1.2287,False,16,44
2022-08,47,0.3404,0.0,1.0,16.0,1.2287,False,16,47
2022-09,26,0.1154,0.4591,0.5409,1.6226,-0.2329,False,3,26
2022-10,14,0.0714,0.0,1.0,1.0,-0.2962,False,1,14
2022-11,19,0.0526,0.0,1.0,1.0,-0.2962,False,1,19
2022-12,12,0.0,1.0,0.0,0.0,-0.3978,False,0,12
2023-01,18,0.0,1.0,0.0,0.0,-0.3978,False,0,18
2023-02,21,0.0476,0.0,1.0,1.0,-0.2962,False,1,21
2023-03,26,0.1154,0.0,1.0,3.0,-0.0929,False,3,26
2023-04,20,0.15,0.0,1.0,3.0,-0.0929,False,3,20
2023-05,16,0.25,0.0,1.0,4.0,0.0088,False,4,16
2023-06,7,0.2857,0.0,1.0,2.0,-0.1945,False,2,7
2023-07,7,0.2857,0.0,1.0,2.0,-0.1945,False,2,7
2023-08,16,0.0,1.0,0.0,0.0,-0.3978,False,0,16
2023-09,16,0.0,1.0,0.0,0.0,-0.3978,False,0,16
2023-10,27,0.1111,0.0,1.0,3.0,-0.0929,False,3,27
2023-11,14,0.2143,0.0,1.0,3.0,-0.0929,False,3,14
2023-12,14,0.2143,0.0,1.0,3.0,-0.0929,False,3,14
2024-01,7,0.0,1.0,0.0,0.0,-0.3978,False,0,7
2024-02,13,0.0,1.0,0.0,0.0,-0.3978,False,0,13
2024-03,13,0.0,1.0,0.0,0.0,-0.3978,False,0,13
2024-04,29,0.0,1.0,0.0,0.0,-0.3978,False,0,29
2024-05,23,0.0,1.0,0.0,0.0,-0.3978,False,0,23
2024-06,45,0.0222,0.0,1.0,1.0,-0.2962,False,1,45
2024-07,28,0.0357,0.0,1.0,1.0,-0.2962,False,1,28
2024-08,31,0.0323,0.0,1.0,1.0,-0.2962,False,1,31
2024-09,13,0.0,1.0,0.0,0.0,-0.3978,False,0,13
2024-10,9,0.0,1.0,0.0,0.0,-0.3978,False,0,9
2024-11,4,0.0,1.0,0.0,0.0,-0.3978,False,0,4
2024-12,15,0.4667,0.6894,0.3106,2.1743,-0.1768,False,7,15
2025-01,31,0.4194,0.676,0.324,4.2118,0.0303,False,13,31
2025-02,42,0.381,0.6622,0.3378,5.4043,0.1516,False,16,42
2025-03,48,0.3125,0.7773,0.2227,3.3404,-0.0582,False,15,48
2025-04,54,0.3148,0.8044,0.1956,3.326,-0.0597,False,17,54
2025-05,86,0.2674,0.8653,0.1347,3.0985,-0.0828,False,23,86
2025-06,77,0.2597,0.6855,0.3145,6.2905,0.2417,False,20,77
2025-07,74,0.2432,0.7478,0.2522,4.5402,0.0637,False,18,74
2025-08,47,0.3404,0.6359,0.3641,5.8257,0.1944,False,16,47
2025-09,47,0.3191,0.621,0.379,5.6854,0.1801,False,15,47
2025-10,34,0.2941,0.5784,0.4216,4.2161,0.0308,False,10,34
2025-11,38,0.2368,0.6758,0.3242,2.9176,-0.1012,False,9,38
2025-12,43,0.2558,0.7863,0.2137,2.3506,-0.1589,False,11,43
2026-01,48,0.2292,0.7863,0.2137,2.3506,-0.1589,False,11,48
2026-02,40,0.125,0.4855,0.5145,2.5726,-0.1363,False,5,40
2026-03,25,0.08,0.5,0.5,1.0,-0.2962,False,2,25
