month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2019-01,-1.2246,False,232,0.1121,0.5823,0.4177,-0.03143562365118402,0.16023767946079825,0.16521667409653307,0.2715690970471085,16.56999969482422,Q1 (lowest)
2019-02,-0.0238,False,531,0.1281,0.5562,0.4438,0.03245589495009771,0.09922568208244287,0.15001551188604823,-0.03143562365118402,14.779999732971191,Q3
2019-03,0.7218,False,820,0.1183,0.5653,0.4347,0.16023767946079825,0.15783785718714105,0.0683304462643517,0.03245589495009771,13.710000038146973,Q4 (highest)
2019-04,0.8859,False,913,0.1106,0.5563,0.4437,-0.08236833186837056,0.00429135747259024,-0.009048603312952097,0.16023767946079825,13.119999885559082,Q4 (highest)
2019-05,0.3087,False,1052,0.1008,0.6649,0.3351,0.08750781621530179,0.04620509748952184,0.1361921790707057,-0.08236833186837056,18.709999084472656,Q3
2019-06,0.4813,False,1158,0.095,0.6518,0.3482,0.006372927663047978,-0.07730565239958498,0.06347158660719443,0.08750781621530179,15.079999923706055,Q3
2019-07,1.585,True,1373,0.1238,0.6703,0.3297,-0.04407130294026684,-0.013282958860777017,0.03954103668884623,0.006372927663047978,16.1200008392334,Q4 (highest)
2019-08,2.1652,True,1537,0.1327,0.6795,0.3205,-0.0408789658920774,0.08601284948536136,0.03662421384533365,-0.04407130294026684,18.979999542236328,Q4 (highest)
2019-09,1.4892,False,1713,0.129,0.7533,0.2467,0.07620179970619478,0.15257191005113313,-0.06334222786117072,-0.0408789658920774,16.239999771118164,Q4 (highest)
2019-10,0.4409,False,1859,0.113,0.8207,0.1793,0.05212619719232081,0.053535100081614884,0.06814514540354466,0.07620179970619478,13.220000267028809,Q3
2019-11,1.0334,False,1970,0.1086,0.7795,0.2205,0.01790320692415248,-0.04547702696467337,0.11629629375405415,0.05212619719232081,12.619999885559082,Q4 (highest)
2019-12,1.3394,False,1806,0.1135,0.7458,0.2542,-0.016272771465357883,-0.18733246579185237,0.10630937124621465,0.01790320692415248,13.779999732971191,Q4 (highest)
