month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,232,0.1121,0.5823,0.4177,10.8604,-1.2246,False,26,232
2019-02,531,0.1281,0.5562,0.4438,30.1767,-0.0238,False,68,531
2019-03,820,0.1183,0.5653,0.4347,42.1696,0.7218,False,97,820
2019-04,913,0.1106,0.5563,0.4437,44.8097,0.8859,False,101,913
2019-05,1052,0.1008,0.6649,0.3351,35.5254,0.3087,False,106,1052
2019-06,1158,0.095,0.6518,0.3482,38.3012,0.4813,False,110,1158
2019-07,1373,0.1238,0.6703,0.3297,56.0551,1.585,True,170,1373
2019-08,1537,0.1327,0.6795,0.3205,65.3882,2.1652,True,204,1537
2019-09,1713,0.129,0.7533,0.2467,54.5141,1.4892,False,221,1713
2019-10,1859,0.113,0.8207,0.1793,37.6513,0.4409,False,210,1859
2019-11,1970,0.1086,0.7795,0.2205,47.1822,1.0334,False,214,1970
2019-12,1806,0.1135,0.7458,0.2542,52.105,1.3394,False,205,1806
2020-01,1537,0.0937,0.7943,0.2057,29.6222,-0.0583,False,144,1537
2020-02,1384,0.0845,0.8263,0.1737,20.3192,-0.6366,False,117,1384
2020-03,1338,0.0725,0.8659,0.1341,13.0048,-1.0913,False,97,1338
2020-04,1322,0.0741,0.8876,0.1124,11.017,-1.2149,False,98,1322
2020-05,1365,0.0806,0.8771,0.1229,13.5146,-1.0596,False,110,1365
2020-06,1353,0.0924,0.8022,0.1978,24.7235,-0.3628,False,125,1353
2020-07,1358,0.0957,0.7674,0.2326,30.2364,-0.0201,False,130,1358
2020-08,1410,0.1,0.8382,0.1618,22.8166,-0.4813,False,141,1410
2020-09,1478,0.1022,0.8785,0.1215,18.3474,-0.7592,False,151,1478
2020-10,1703,0.1163,0.9187,0.0813,16.102,-0.8988,False,198,1703
2020-11,1554,0.1178,0.8915,0.1085,19.8629,-0.665,False,183,1554
2020-12,1403,0.1055,0.9032,0.0968,14.3249,-1.0092,False,148,1403
2021-01,1266,0.09,0.8696,0.1304,14.8654,-0.9756,False,114,1266
2021-02,1322,0.0749,0.9067,0.0933,9.2409,-1.3253,False,99,1322
2021-03,1418,0.0825,0.8988,0.1012,11.8394,-1.1638,False,117,1418
2021-04,1567,0.0855,0.9165,0.0835,11.1826,-1.2046,False,134,1567
