month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-09,113,0.0973,0.4073,0.5927,6.52,-0.9943,False,11,113
2019-10,152,0.0789,0.422,0.578,6.9359,-0.9761,False,12,152
2019-11,182,0.0824,0.4182,0.5818,8.7275,-0.8977,False,15,182
2019-12,89,0.0674,0.3955,0.6045,3.6271,-1.1208,False,6,89
2020-01,60,0.0833,0.3109,0.6891,3.4454,-1.1288,False,5,60
2020-02,44,0.0909,0.3494,0.6506,2.6024,-1.1656,False,4,44
2020-03,61,0.1148,0.2548,0.7452,5.2163,-1.0513,False,7,61
2020-04,65,0.1385,0.2167,0.7833,7.0493,-0.9711,False,9,65
2020-05,67,0.1194,0.2341,0.7659,6.1272,-1.0115,False,8,67
2020-06,93,0.1398,0.1685,0.8315,10.8095,-0.8066,False,13,93
2020-07,126,0.1508,0.1281,0.8719,16.5658,-0.5548,False,19,126
2020-08,133,0.1353,0.0,1.0,18.0,-0.4921,False,18,133
2020-09,117,0.1538,0.0,1.0,18.0,-0.4921,False,18,117
2020-10,120,0.1333,0.1453,0.8547,13.6758,-0.6813,False,16,120
2020-11,145,0.1103,0.1453,0.8547,13.6758,-0.6813,False,16,145
2020-12,115,0.1304,0.244,0.756,11.3403,-0.7834,False,15,115
2021-01,129,0.093,0.2799,0.7201,8.6406,-0.9015,False,12,129
2021-02,137,0.1022,0.3228,0.6772,9.4803,-0.8648,False,14,137
2021-03,224,0.1116,0.4182,0.5818,14.5459,-0.6432,False,25,224
2021-04,206,0.1359,0.4163,0.5837,16.3436,-0.5646,False,28,206
2021-05,172,0.1337,0.3818,0.6182,14.2183,-0.6575,False,23,172
2021-06,92,0.0978,0.2167,0.7833,7.0493,-0.9711,False,9,92
2021-07,90,0.0667,0.2799,0.7201,4.3203,-1.0905,False,6,90
2021-08,108,0.1111,0.539,0.461,5.5314,-1.0375,False,12,108
2021-09,126,0.127,0.6114,0.3886,6.2168,-1.0075,False,16,126
2021-10,136,0.1176,0.6724,0.3276,5.2415,-1.0502,False,16,136
2021-11,193,0.0881,0.623,0.377,6.4084,-0.9991,False,17,193
2021-12,233,0.0815,0.5459,0.4541,8.6287,-0.902,False,19,233
2022-01,246,0.0976,0.3827,0.6173,14.8143,-0.6315,False,24,246
2022-02,213,0.1643,0.2992,0.7008,24.5267,-0.2066,False,35,213
2022-03,244,0.1598,0.2924,0.7076,27.596,-0.0724,False,39,244
2022-04,247,0.166,0.3452,0.6548,26.8479,-0.1051,False,41,247
2022-05,264,0.1174,0.4837,0.5163,16.0057,-0.5793,False,31,264
2022-06,245,0.1347,0.4721,0.5279,17.4213,-0.5174,False,33,245
2022-07,245,0.1469,0.4403,0.5597,20.1504,-0.398,False,36,245
2022-08,205,0.1951,0.4023,0.5977,23.9088,-0.2336,False,40,205
2022-09,280,0.2321,0.6595,0.3405,22.1319,-0.3114,False,65,280
2022-10,342,0.193,0.6625,0.3375,22.2752,-0.3051,False,66,342
2022-11,406,0.1773,0.5802,0.4198,30.2243,0.0426,False,72,406
2022-12,345,0.1507,0.51,0.49,25.4804,-0.1649,False,52,345
2023-01,357,0.112,0.5263,0.4737,18.9462,-0.4507,False,40,357
2023-02,409,0.1076,0.4914,0.5086,22.3802,-0.3005,False,44,409
2023-03,506,0.1166,0.5368,0.4632,27.3274,-0.0841,False,59,506
2023-04,591,0.1472,0.6043,0.3957,34.4259,0.2264,False,87,591
2023-05,668,0.1407,0.5987,0.4013,37.7245,0.3707,False,94,668
2023-06,710,0.1324,0.5706,0.4294,40.3633,0.4861,False,94,710
2023-07,663,0.1312,0.5372,0.4628,40.262,0.4817,False,87,663
2023-08,642,0.1667,0.5409,0.4591,49.1193,0.8691,False,107,642
2023-09,648,0.1682,0.5226,0.4774,52.032,0.9965,False,109,648
2023-10,618,0.1456,0.4629,0.5371,48.3433,0.8352,False,90,618
2023-11,499,0.1202,0.4083,0.5917,35.5011,0.2734,False,60,499
2023-12,398,0.1181,0.4543,0.5457,25.6466,-0.1576,False,47,398
2024-01,415,0.1108,0.4648,0.5352,24.6192,-0.2026,False,46,415
2024-02,583,0.1235,0.4633,0.5367,38.6424,0.4108,False,72,583
2024-03,780,0.1205,0.495,0.505,47.4719,0.797,False,94,780
2024-04,737,0.1248,0.5837,0.4163,38.3001,0.3959,False,92,737
2024-05,588,0.1156,0.694,0.306,20.8056,-0.3694,False,68,588
2024-06,538,0.0948,0.7656,0.2344,11.9562,-0.7565,False,51,538
2024-07,528,0.0833,0.7215,0.2785,12.2536,-0.7435,False,44,528
2024-08,629,0.1161,0.5925,0.4075,29.746,0.0217,False,73,629
2024-09,687,0.1499,0.5323,0.4677,48.1698,0.8276,False,103,687
2024-10,805,0.1553,0.5453,0.4547,56.8322,1.2065,False,125,805
2024-11,788,0.1637,0.683,0.317,40.8979,0.5095,False,129,788
2024-12,643,0.1649,0.7735,0.2265,24.0086,-0.2293,False,106,643
2025-01,608,0.1727,0.7496,0.2504,26.2896,-0.1295,False,105,608
2025-02,640,0.1437,0.6593,0.3407,31.3413,0.0915,False,92,640
2025-03,768,0.1497,0.5141,0.4859,55.8824,1.1649,False,115,768
2025-04,880,0.1614,0.4547,0.5453,77.4362,2.1077,True,142,880
2025-05,910,0.1681,0.4929,0.5071,77.5928,2.1146,True,153,910
2025-06,920,0.1783,0.5571,0.4429,72.6274,1.8974,True,164,920
2025-07,816,0.1703,0.5604,0.4396,61.1063,1.3934,False,139,816
2025-08,914,0.1652,0.4748,0.5252,79.3033,2.1894,True,151,914
2025-09,945,0.1683,0.4006,0.5994,95.2988,2.8891,True,159,945
2025-10,1026,0.1579,0.4341,0.5659,91.6702,2.7304,True,162,1026
2025-11,981,0.1356,0.5262,0.4738,63.0107,1.4767,False,133,981
2025-12,850,0.1176,0.5645,0.4355,43.5469,0.6254,False,100,850
2026-01,798,0.1115,0.5396,0.4604,40.9773,0.513,False,89,798
2026-02,892,0.1435,0.5308,0.4692,60.063,1.3478,False,128,892
2026-03,1051,0.1513,0.5061,0.4939,78.5288,2.1555,True,159,1051
