month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2022-10,157,0.1656,0.7487,0.2513,6.5328,-1.1268,False,26,157
2022-11,283,0.159,0.7911,0.2089,9.4018,-0.9797,False,45,283
2022-12,345,0.1507,0.7471,0.2529,13.1495,-0.7876,False,52,345
2023-01,356,0.1124,0.7711,0.2289,9.1567,-0.9923,False,40,356
2023-02,406,0.1084,0.7198,0.2802,12.3276,-0.8297,False,44,406
2023-03,503,0.1173,0.7864,0.2136,12.6004,-0.8158,False,59,503
2023-04,589,0.1477,0.8853,0.1147,9.9804,-0.9501,False,87,589
2023-05,667,0.1409,0.877,0.123,11.5579,-0.8692,False,94,667
2023-06,709,0.1326,0.8359,0.1641,15.4236,-0.671,False,94,709
2023-07,662,0.1314,0.787,0.213,18.5301,-0.5118,False,87,662
2023-08,642,0.1667,0.7925,0.2075,22.2062,-0.3233,False,107,642
2023-09,648,0.1682,0.7657,0.2343,25.5433,-0.1522,False,109,648
2023-10,618,0.1456,0.6781,0.3219,28.9741,0.0237,False,90,618
2023-11,499,0.1202,0.5982,0.4018,24.1098,-0.2257,False,60,499
2023-12,398,0.1181,0.6656,0.3344,15.7178,-0.6559,False,47,398
2024-01,415,0.1108,0.6809,0.3191,14.6777,-0.7093,False,46,415
2024-02,579,0.1244,0.6787,0.3213,23.1319,-0.2758,False,72,579
2024-03,747,0.1205,0.5901,0.4099,36.8944,0.4298,False,90,747
2024-04,688,0.125,0.68,0.32,27.5203,-0.0508,False,86,688
2024-05,519,0.1137,0.7618,0.2382,14.0527,-0.7413,False,59,519
2024-06,458,0.0917,0.8468,0.1532,6.4346,-1.1319,False,42,458
2024-07,446,0.074,0.7268,0.2732,9.0141,-0.9996,False,33,446
2024-08,550,0.1109,0.552,0.448,27.3273,-0.0607,False,61,550
2024-09,631,0.1458,0.5269,0.4731,43.5297,0.7699,False,92,631
2024-10,746,0.1528,0.5787,0.4213,48.0294,1.0006,False,114,746
2024-11,733,0.161,0.8038,0.1962,23.1561,-0.2746,False,118,733
2024-12,594,0.1599,0.9259,0.0741,7.043,-1.1007,False,95,594
2025-01,564,0.1755,0.9533,0.0467,4.6254,-1.2246,False,99,564
2025-02,590,0.1508,0.8633,0.1367,12.17,-0.8378,False,89,590
2025-03,722,0.1593,0.7531,0.2469,28.3943,-0.006,False,115,722
2025-04,845,0.1657,0.6073,0.3927,54.9834,1.3571,False,140,845
2025-05,881,0.1691,0.6282,0.3718,55.3916,1.3781,False,149,881
2025-06,879,0.1775,0.6716,0.3284,51.2374,1.1651,False,156,879
2025-07,778,0.1697,0.6732,0.3268,43.1384,0.7499,False,132,778
2025-08,881,0.1657,0.5825,0.4175,60.951,1.6631,True,146,881
2025-09,918,0.1699,0.5114,0.4886,76.2259,2.4462,True,156,918
2025-10,983,0.1617,0.5625,0.4375,69.5668,2.1048,True,159,983
2025-11,928,0.1379,0.6495,0.3505,44.8641,0.8383,False,128,928
2025-12,796,0.1181,0.66,0.34,31.9572,0.1766,False,94,796
2026-01,741,0.1107,0.5858,0.4142,33.9636,0.2795,False,82,741
2026-02,832,0.1418,0.5727,0.4273,50.4174,1.1231,False,118,832
2026-03,990,0.1515,0.576,0.424,63.5929,1.7985,True,150,990
