month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2020-10,-1.0242,False,66,0.1061,0.3621,0.6379,0.30325570262291635,0.08971285317684852,-0.07371413334785037,-0.003904365448362812,38.02000045776367,Q1 (lowest)
2020-11,-1.0035,False,93,0.086,0.356,0.644,-0.13638596532306213,-0.2034740625402437,-0.26948808785136447,0.30325570262291635,20.56999969482422,Q1 (lowest)
2020-12,-0.8268,False,134,0.1493,0.4492,0.5508,-0.03180519503758572,-0.18521675994193632,-0.14072491721266278,-0.13638596532306213,22.75,Q1 (lowest)
2021-01,-0.8526,False,129,0.1705,0.5382,0.4618,-0.04738485257361347,-0.1499725235398104,-0.02470181936058813,-0.03180519503758572,33.09000015258789,Q1 (lowest)
2021-02,-0.801,False,158,0.1709,0.5602,0.4398,-0.11659092536551074,-0.0828774333722887,0.1726515993037656,-0.04738485257361347,27.950000762939453,Q2
2021-03,-0.9182,False,148,0.1149,0.5305,0.4695,0.010075006851414603,0.05460574118596617,0.3190421941989714,-0.11659092536551074,19.399999618530273,Q1 (lowest)
2021-04,-0.9121,False,175,0.1029,0.5453,0.4547,0.027807774702022447,0.1473725351807369,0.5278725417035579,0.010075006851414603,18.610000610351562,Q1 (lowest)
2021-05,-0.7,False,180,0.15,0.4362,0.5638,0.015838357735558084,0.27862037417271557,0.42902153359196493,0.027807774702022447,16.760000228881836,Q2
2021-06,-0.5937,False,189,0.1693,0.414,0.586,0.09892472236166672,0.2507443707974042,0.40095118165689114,0.015838357735558084,15.829999923706055,Q2
2021-07,-0.5949,False,161,0.1739,0.3317,0.6683,0.14537861171665045,0.3316272569334979,0.03831097632475888,0.09892472236166672,18.239999771118164,Q2
2021-08,-0.7987,False,148,0.1216,0.3363,0.6637,-0.006308570360538557,0.11762768876302387,-0.12712338316249938,0.14537861171665045,16.479999542236328,Q2
2021-09,-0.7882,False,152,0.1184,0.3169,0.6831,0.16998976591988768,0.12009393315416128,-0.242370100744438,-0.006308570360538557,23.139999389648438,Q2
2021-10,-0.8097,False,131,0.1145,0.2278,0.7722,-0.03868981060109811,-0.22026905733680657,-0.5154872139505283,0.16998976591988768,16.260000228881836,Q2
2021-11,-0.8393,False,119,0.1345,0.3375,0.6625,-0.004115813381170952,-0.21899159656326217,-0.6247243750804659,-0.03868981060109811,27.190000534057617,Q1 (lowest)
2021-12,-1.0046,False,93,0.0968,0.4319,0.5681,-0.18553507336831176,-0.3236014616005535,-0.5894907821148524,-0.004115813381170952,17.219999313354492,Q1 (lowest)
2022-01,-0.9364,False,118,0.1102,0.4324,0.5676,-0.03711486212724224,-0.37861541778167174,-0.4566509351995328,-0.18553507336831176,24.829999923706055,Q1 (lowest)
2022-02,-0.8955,False,128,0.1016,0.3281,0.6719,-0.13750658087680767,-0.5194986081222982,-0.3188662408572768,-0.03711486212724224,30.149999618530273,Q1 (lowest)
2022-03,-0.8094,False,165,0.103,0.3181,0.6819,-0.2517784716624588,-0.3930956461607228,-0.25823766817099114,-0.13750658087680767,20.559999465942383,Q2
2022-04,-0.8165,False,172,0.1047,0.3691,0.6309,-0.2554246400602662,-0.12558328553836362,-0.06497899691442088,-0.2517784716624588,33.400001525878906,Q1 (lowest)
2022-05,-0.8506,False,143,0.1259,0.4319,0.5681,0.08938500506325231,0.417547941913323,0.11946723218419852,-0.2554246400602662,26.190000534057617,Q1 (lowest)
2022-06,-0.9121,False,147,0.1224,0.5453,0.4547,0.07802391984757451,0.22220631164798865,0.03221627934842575,0.08938500506325231,28.709999084472656,Q1 (lowest)
2022-07,-0.8929,False,159,0.1132,0.5099,0.4901,0.20705751802992145,0.06930824585307227,0.04355945980773379,0.07802391984757451,21.329999923706055,Q1 (lowest)
2022-08,-0.8524,False,265,0.0755,0.4917,0.5083,-0.060734956726849254,-0.21027910303110642,-0.1468361012077254,0.20705751802992145,25.8700008392334,Q1 (lowest)
2022-09,-0.6693,False,322,0.0839,0.3983,0.6017,-0.0568369221023407,-0.15544841365070827,-0.09219823963713603,-0.060734956726849254,31.6200008392334,Q2
2022-10,-0.4969,False,392,0.0867,0.354,0.646,-0.1085465304055877,-0.024079853629854542,-0.0762320710421791,-0.0568369221023407,25.8799991607666,Q3
2022-11,-0.5658,False,332,0.0964,0.385,0.615,0.004478652323190779,0.0803359795427574,0.15717290184166854,-0.1085465304055877,20.579999923706055,Q2
2022-12,-0.7352,False,245,0.102,0.4378,0.5622,0.0898704873808831,0.07489201966570347,0.22599974891137342,0.004478652323190779,21.670000076293945,Q2
2023-01,-0.8619,False,180,0.1167,0.531,0.469,-0.01316797191540131,-0.05343902122146005,0.13596269458272037,0.0898704873808831,19.399999618530273,Q1 (lowest)
2023-02,-0.8504,False,190,0.1053,0.4883,0.5117,-0.0005830521688868773,0.07112317256288336,0.015999489199252537,-0.01316797191540131,20.700000762939453,Q1 (lowest)
2023-03,-0.8014,False,274,0.0876,0.5059,0.4941,-0.040248828344697785,0.14057945028996044,-0.009851507419881944,-0.0005830521688868773,18.700000762939453,Q2
2023-04,-0.7835,False,371,0.0701,0.5211,0.4789,0.11669366940589132,0.20009457398992692,-0.019921643110241583,-0.040248828344697785,15.779999732971191,Q2
2023-05,-0.7602,False,421,0.0689,0.5439,0.4561,0.0642234825712904,-0.051463440223906254,0.13497818083602775,0.11669366940589132,17.940000534057617,Q2
2023-06,-0.7254,False,463,0.0821,0.6216,0.3784,0.009830725243377136,-0.13188994214440708,0.13081034680840453,0.0642234825712904,13.59000015258789,Q2
2023-07,-0.6444,False,475,0.0926,0.612,0.388,-0.11738225098341526,-0.18333239885310515,0.1008946710842824,0.009830725243377136,13.630000114440918,Q2
2023-08,-0.4996,False,476,0.1092,0.5793,0.4207,-0.026012124145931015,0.196557127016743,0.20038247658746355,-0.11738225098341526,13.569999694824219,Q3
2023-09,-0.4058,False,462,0.1385,0.6095,0.3905,-0.05000981328784093,0.30261173289678767,0.05779931651573844,-0.026012124145931015,17.520000457763672,Q3
