month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2020-10,66,0.1061,0.3621,0.6379,4.465,-1.0242,False,7,66
2020-11,93,0.086,0.356,0.644,5.1518,-1.0035,False,8,93
2020-12,134,0.1493,0.4492,0.5508,11.0153,-0.8268,False,20,134
2021-01,129,0.1705,0.5382,0.4618,10.1605,-0.8526,False,22,129
2021-02,158,0.1709,0.5602,0.4398,11.8734,-0.801,False,27,158
2021-03,148,0.1149,0.5305,0.4695,7.9823,-0.9182,False,17,148
2021-04,175,0.1029,0.5453,0.4547,8.1839,-0.9121,False,18,175
2021-05,180,0.15,0.4362,0.5638,15.2237,-0.7,False,27,180
2021-06,189,0.1693,0.414,0.586,18.7524,-0.5937,False,32,189
2021-07,161,0.1739,0.3317,0.6683,18.7129,-0.5949,False,28,161
2021-08,148,0.1216,0.3363,0.6637,11.9471,-0.7987,False,18,148
2021-09,152,0.1184,0.3169,0.6831,12.2959,-0.7882,False,18,152
2021-10,131,0.1145,0.2278,0.7722,11.583,-0.8097,False,15,131
2021-11,119,0.1345,0.3375,0.6625,10.6003,-0.8393,False,16,119
2021-12,93,0.0968,0.4319,0.5681,5.1131,-1.0046,False,9,93
2022-01,118,0.1102,0.4324,0.5676,7.3791,-0.9364,False,13,118
2022-02,128,0.1016,0.3281,0.6719,8.7347,-0.8955,False,13,128
2022-03,165,0.103,0.3181,0.6819,11.5921,-0.8094,False,17,165
2022-04,172,0.1047,0.3691,0.6309,11.3567,-0.8165,False,18,172
2022-05,143,0.1259,0.4319,0.5681,10.2262,-0.8506,False,18,143
2022-06,147,0.1224,0.5453,0.4547,8.1839,-0.9121,False,18,147
2022-07,159,0.1132,0.5099,0.4901,8.8217,-0.8929,False,18,159
2022-08,265,0.0755,0.4917,0.5083,10.1656,-0.8524,False,20,265
2022-09,322,0.0839,0.3983,0.6017,16.2452,-0.6693,False,27,322
2022-10,392,0.0867,0.354,0.646,21.9655,-0.4969,False,34,392
2022-11,332,0.0964,0.385,0.615,19.6802,-0.5658,False,32,332
2022-12,245,0.102,0.4378,0.5622,14.0558,-0.7352,False,25,245
2023-01,180,0.1167,0.531,0.469,9.8493,-0.8619,False,21,180
2023-02,190,0.1053,0.4883,0.5117,10.2341,-0.8504,False,20,190
2023-03,274,0.0876,0.5059,0.4941,11.8575,-0.8014,False,24,274
2023-04,371,0.0701,0.5211,0.4789,12.4516,-0.7835,False,26,371
2023-05,421,0.0689,0.5439,0.4561,13.2255,-0.7602,False,29,421
2023-06,463,0.0821,0.6216,0.3784,14.3806,-0.7254,False,38,463
2023-07,475,0.0926,0.612,0.388,17.0711,-0.6444,False,44,475
2023-08,476,0.1092,0.5793,0.4207,21.8778,-0.4996,False,52,476
2023-09,462,0.1385,0.6095,0.3905,24.9908,-0.4058,False,64,462
2023-10,452,0.1637,0.5789,0.4211,31.1646,-0.2198,False,74,452
2023-11,436,0.1766,0.5561,0.4439,34.1769,-0.1291,False,77,436
2023-12,438,0.1393,0.5597,0.4403,26.8592,-0.3495,False,61,438
2024-01,442,0.1697,0.528,0.472,35.3997,-0.0922,False,75,442
2024-02,536,0.1828,0.5272,0.4728,46.3318,0.2371,False,98,536
2024-03,595,0.2017,0.5788,0.4212,50.5416,0.3639,False,120,595
2024-04,644,0.1879,0.5876,0.4124,49.9043,0.3448,False,121,644
2024-05,734,0.1826,0.5376,0.4624,61.964,0.7081,False,134,734
2024-06,783,0.1928,0.4937,0.5063,76.4487,1.1444,False,151,783
2024-07,803,0.2391,0.4959,0.5041,96.7878,1.7572,True,192,803
2024-08,779,0.2696,0.5001,0.4999,104.9796,2.0039,True,210,779
2024-09,815,0.2712,0.4741,0.5259,116.2194,2.3426,True,221,815
2024-10,892,0.2444,0.557,0.443,96.5647,1.7504,True,218,892
2024-11,894,0.2371,0.6094,0.3906,82.8043,1.3359,False,212,894
2024-12,832,0.2344,0.6334,0.3666,71.4815,0.9948,False,195,832
2025-01,755,0.2212,0.6366,0.3634,60.6919,0.6697,False,167,755
2025-02,690,0.2116,0.5967,0.4033,58.8855,0.6153,False,146,690
2025-03,769,0.1795,0.5794,0.4206,58.0488,0.5901,False,138,769
2025-04,887,0.1714,0.5787,0.4213,64.0407,0.7706,False,152,887
2025-05,956,0.1642,0.6103,0.3897,61.1813,0.6845,False,157,956
2025-06,991,0.1826,0.6199,0.3801,68.804,0.9141,False,181,991
2025-07,921,0.2172,0.6304,0.3696,73.9134,1.068,False,200,921
2025-08,950,0.2126,0.6265,0.3735,75.4491,1.1143,False,202,950
2025-09,891,0.2492,0.6264,0.3736,82.9377,1.3399,False,222,891
2025-10,948,0.2627,0.6013,0.3987,99.2845,1.8324,True,249,948
2025-11,874,0.2838,0.6142,0.3858,95.6885,1.724,True,248,874
2025-12,743,0.2705,0.6255,0.3745,75.2834,1.1093,False,201,743
2026-01,623,0.2504,0.7083,0.2917,45.5065,0.2123,False,156,623
2026-02,773,0.2885,0.6649,0.3351,74.729,1.0926,False,223,773
2026-03,1037,0.3057,0.6375,0.3625,114.9252,2.3036,True,317,1037
