name,sample_total,sample_corp,corp_rate
snowflakedb/dplyr-snowflakedb,3,3,1.0
snowflakedb/snowflake-ingest-java,50,50,1.0
snowflakedb/floe,25,25,1.0
snowflakedb/native-apps-permission-sdk-stub,9,9,1.0
snowflakedb/snowflake-telemetry-dashboard-templates,8,8,1.0
snowflakedb/universal-driver,50,50,1.0
snowflakedb/snowpipe-streaming-sdk-examples,21,21,1.0
snowflakedb/snowflake-telemetry-python,50,50,1.0
snowflakedb/terraform-provider-snowflake,50,49,0.98
snowflakedb/snowflake-cli,50,49,0.98
snowflakedb/ArcticTraining,50,49,0.98
snowflakedb/reusable-workflows,47,46,0.979
snowflakedb/native-apps-templates,46,45,0.978
snowflakedb/snowflake-s3compat-api-test-suite,31,30,0.968
snowflakedb/gosnowflake,50,48,0.96
snowflakedb/snowflake-jdbc,50,48,0.96
snowflakedb/snowflake-ado-extension,18,17,0.944
snowflakedb/snowflake-connector-python,50,47,0.94
snowflakedb/snowflake-ml-python,50,47,0.94
snowflakedb/snowflake-cli-templates,31,29,0.935
snowflakedb/snowflake-ingest-python,50,46,0.92
snowflakedb/snowflake-connector-nodejs,50,46,0.92
snowflakedb/snowflake-jenkins-plugin,9,8,0.889
snowflakedb/homebrew-snowflake-cli,50,44,0.88
snowflakedb/ArcticInference,50,44,0.88
snowflakedb/snowflake-connector-net,50,43,0.86
snowflakedb/snowflake-hive-metastore-connector,50,43,0.86
snowflakedb/connectors-native-sdk,26,21,0.808
snowflakedb/snowflake-sqlalchemy,50,40,0.8
snowflakedb/snowpark-java-scala,50,40,0.8
snowflakedb/snowflake-cli-action,39,31,0.795
snowflakedb/snowpark-checkpoints,50,39,0.78
snowflakedb/native-apps-examples,18,14,0.778
snowflakedb/snowflake-kafka-connector,50,38,0.76
snowflakedb/snowflake-rest-api-specs,50,36,0.72
snowflakedb/CLA,7,5,0.714
snowflakedb/libsnowflakeclient,50,35,0.7
snowflakedb/snowpark-python,50,34,0.68
snowflakedb/qgis-snowflake-connector,50,25,0.5
snowflakedb/spark-snowflake,50,23,0.46
snowflakedb/pdo_snowflake,50,21,0.42
snowflakedb/SnowAlert,10,4,0.4
