month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,ret,vix_close,ps_quartile,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2018-01,-0.8838,False,1,0.0,1.0,0.0,0.005556570248824277,0.03685863681984691,0.3411743176698059,0.1860720811846679,13.539999961853027,Q1,-0.03636064868258215,-0.057930369711385876,0.006473825160535629,-0.012928383799497123,-0.04839992469585397,0.04554019178228774,
2018-02,-0.5286,False,24,0.25,0.0,1.0,-0.006815301903526194,0.17498618235025543,0.6579480681218213,0.005556570248824277,19.850000381469727,Q2,-0.03129009989558673,0.0013811579096434379,0.0777901039480553,-0.04234197457883315,0.01875432046228709,0.12046507911139526,
2018-03,-0.4102,False,48,0.1667,0.0,1.0,0.03820477454091331,0.1594955968261038,0.7830119186654445,-0.006815301903526194,19.969999313354492,Q3,0.009194183447017723,0.03502360670503424,0.11417507764921409,0.006689065762660151,0.07368066006959006,0.16461455559208304,
2018-04,0.1226,False,117,0.1453,0.0,1.0,0.13951413785558264,0.2934977537375072,0.3560200836521277,0.03820477454091331,15.930000305175781,Q3,0.02430888164169298,0.06836458028287207,0.03238364140298389,0.056729081582465035,0.09871806330838839,0.05933699610470611,0.061604449843321994
2018-05,-0.2918,False,88,0.1136,0.0,1.0,-0.01990908354814802,0.4110362258095035,0.347233127574502,0.13951413785558264,15.430000305175781,Q3,0.0012547237756326268,0.07630355877467632,0.02657856493581101,0.009290346261851212,0.09983835808711383,-0.00018844362388614755,0.05575453101771982
2018-06,-0.351,False,75,0.12,0.0,1.0,0.15818942949347936,0.5377478996436871,0.42322461141127743,-0.01990908354814802,16.09000015258789,Q3,0.04170311984928077,0.07647310692376985,-0.07041185895732427,0.030164276794174105,0.08469361412973497,-0.0977663363614717,0.07250645238529238
2018-07,-0.5286,False,31,0.1935,0.0,1.0,0.24306031741482714,0.048335862767418636,0.35892827716247644,0.15818942949347936,12.829999923706055,Q2,0.03192048383292656,-0.03367852093183543,-0.030549591286314626,0.05780656279639862,-0.03584274120796793,-0.04253578825044668,0.05710386306305232
2018-08,-0.4694,False,29,0.2414,0.0,1.0,0.06810351192015518,-0.0452171936254846,0.19408955456152777,0.24306031741482714,12.859999656677246,Q3,0.0014124496177552182,-0.04619978576998751,-0.030084395256149365,-0.004607554061770047,-0.0909468204809396,-0.06778411295218312,0.05245675444785423
2018-09,0.1818,False,73,0.2466,0.0,1.0,-0.21042225770720424,-0.07447468356740772,0.16902434057795168,0.06810351192015518,12.119999885559082,Q3,-0.06489062007383528,-0.13645019549150306,-0.018245656815263578,-0.08431251711918875,-0.16821335362760192,-0.028482272829174593,0.0920407123088547
2018-10,-0.143,False,112,0.2232,0.4994,0.5006,0.1321301316746395,0.2962718585007189,0.4510604164396912,-0.21042225770720424,21.229999542236328,Q3,0.018549209417660695,0.0032379800235198264,0.09758556511439487,-0.002649816243709191,-0.0069418624207261415,0.12135353307575536,0.10452718127946826
