month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2018-01,1,0.0,1.0,0.0,0.0,-0.8838,False,0,1
2018-02,24,0.25,0.0,1.0,6.0,-0.5286,False,6,24
2018-03,48,0.1667,0.0,1.0,8.0,-0.4102,False,8,48
2018-04,117,0.1453,0.0,1.0,17.0,0.1226,False,17,117
2018-05,88,0.1136,0.0,1.0,10.0,-0.2918,False,10,88
2018-06,75,0.12,0.0,1.0,9.0,-0.351,False,9,75
2018-07,31,0.1935,0.0,1.0,6.0,-0.5286,False,6,31
2018-08,29,0.2414,0.0,1.0,7.0,-0.4694,False,7,29
2018-09,73,0.2466,0.0,1.0,18.0,0.1818,False,18,73
2018-10,112,0.2232,0.4994,0.5006,12.5144,-0.143,False,25,112
2018-11,310,0.1645,0.3936,0.6064,30.9283,0.9472,False,51,310
2018-12,378,0.1481,0.1507,0.8493,47.5614,1.9319,True,56,378
2019-01,374,0.1364,0.1193,0.8807,44.9135,1.7751,True,51,374
2019-02,336,0.1131,0.3284,0.6716,25.5219,0.6271,False,38,336
2019-03,389,0.1003,0.2898,0.7102,27.6971,0.7559,False,39,389
2019-04,452,0.1062,0.2486,0.7514,36.0684,1.2515,False,48,452
2019-05,434,0.1106,0.073,0.927,44.4937,1.7503,True,48,434
2019-06,310,0.129,0.0,1.0,40.0,1.4842,False,40,310
2019-07,275,0.1527,0.0,1.0,42.0,1.6026,True,42,275
2019-08,286,0.1608,0.0,1.0,46.0,1.8394,True,46,286
2019-09,514,0.1167,0.0,1.0,60.0,2.6682,True,60,514
2019-10,692,0.1055,0.1236,0.8764,63.9738,2.9035,True,73,692
2019-11,618,0.1084,0.1631,0.8369,56.0703,2.4356,True,67,618
2019-12,407,0.1278,0.1591,0.8409,43.7264,1.7048,True,52,407
2020-01,290,0.1241,0.0,1.0,36.0,1.2474,False,36,290
2020-02,350,0.1371,0.073,0.927,44.4937,1.7503,True,48,350
2020-03,354,0.1271,0.0769,0.9231,41.5408,1.5754,True,45,354
2020-04,340,0.1294,0.2109,0.7891,34.7223,1.1718,False,44,340
2020-05,310,0.1226,0.2355,0.7645,29.0518,0.8361,False,38,310
2020-06,311,0.1511,0.2525,0.7475,35.1319,1.196,False,47,311
2020-07,280,0.1857,0.4446,0.5554,28.883,0.8261,False,52,280
2020-08,250,0.228,0.3761,0.6239,35.5601,1.2214,False,57,250
2020-09,199,0.2211,0.3655,0.6345,27.9196,0.769,False,44,199
2020-10,133,0.203,0.0,1.0,27.0,0.7146,False,27,133
2020-11,120,0.1167,0.1856,0.8144,11.4014,-0.2089,False,14,120
2020-12,75,0.1467,0.2197,0.7803,8.5828,-0.3757,False,11,75
2021-01,81,0.1358,0.342,0.658,7.2378,-0.4554,False,11,81
2021-02,96,0.0417,0.4056,0.5944,2.3774,-0.7431,False,4,96
2021-03,101,0.0396,0.4056,0.5944,2.3774,-0.7431,False,4,101
2021-04,140,0.05,0.4926,0.5074,3.5517,-0.6736,False,7,140
2021-05,89,0.0899,0.4772,0.5228,4.1823,-0.6362,False,8,89
2021-06,89,0.0899,0.4772,0.5228,4.1823,-0.6362,False,8,89
2021-07,45,0.0889,0.0,1.0,4.0,-0.647,False,4,45
2021-08,95,0.0526,0.4855,0.5145,2.5726,-0.7315,False,5,95
2021-09,82,0.0366,0.0,1.0,3.0,-0.7062,False,3,82
2021-10,128,0.0391,0.6855,0.3145,1.5726,-0.7907,False,5,128
