month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2019-01,-3.0497,False,69,0.1884,0.4904,0.5096,0.09315489377479924,0.23194394327711,0.24964068443866005,0.24658450045408986,16.56999969482422,Q1 (lowest)
2019-02,-1.9386,False,176,0.1818,0.5418,0.4582,0.061549758271896016,0.08464132504818767,0.07215053499176682,0.09315489377479924,14.779999732971191,Q1 (lowest)
2019-03,-0.2231,False,360,0.175,0.5703,0.4297,0.06161950120128412,0.05550405507244327,-0.1487846004105864,0.061549758271896016,13.710000038146973,Q2
2019-04,1.2863,False,514,0.1693,0.5634,0.4366,-0.037552821346104714,0.014364891566798654,-0.2959020126269428,0.06161950120128412,13.119999885559082,Q4 (highest)
2019-05,1.5256,True,571,0.1926,0.6389,0.3611,0.03303280876503467,-0.011516055831512606,-0.21751652033497426,-0.037552821346104714,18.709999084472656,Q4 (highest)
2019-06,2.06,True,659,0.1942,0.6595,0.3405,0.02024198300908453,-0.19354606408310626,-0.2792079620100374,0.03303280876503467,15.079999923706055,Q4 (highest)
2019-07,2.1476,True,734,0.1798,0.665,0.335,-0.06210911761728155,-0.3058730706999332,-0.10617499969561395,0.02024198300908453,16.1200008392334,Q4 (highest)
2019-08,1.8932,True,803,0.1557,0.661,0.339,-0.15720090399582154,-0.2084004153216158,-0.13665978128484457,-0.06210911761728155,18.979999542236328,Q4 (highest)
2019-09,0.7675,False,780,0.1346,0.674,0.326,-0.12186251034419215,-0.10622044745747095,-0.1861586157797056,-0.15720090399582154,16.239999771118164,Q4 (highest)
2019-10,0.3568,False,801,0.1348,0.7105,0.2895,0.06959404919853429,0.2876967634805463,0.16300751751379083,-0.12186251034419215,13.220000267028809,Q3
2019-11,1.5078,True,884,0.1335,0.6645,0.3355,-0.04841208422828025,0.09062742758501874,0.9132456277984173,0.06959404919853429,12.619999885559082,Q4 (highest)
2019-12,1.8351,True,841,0.1486,0.6643,0.3357,0.26516074361290487,-0.08943834986472343,1.2326007417001223,-0.04841208422828025,13.779999732971191,Q4 (highest)
2020-01,1.2195,False,851,0.1528,0.7115,0.2885,-0.0940968094968232,-0.09683121795672611,1.2311405951296064,0.26516074361290487,18.84000015258789,Q4 (highest)
2020-02,0.4127,False,793,0.1576,0.7467,0.2533,-0.20552203170560723,0.7542614273280523,1.39488646331097,-0.0940968094968232,40.11000061035156,Q3
2020-03,0.2929,False,835,0.1329,0.7225,0.2775,0.25488887844999075,1.4518941044446998,1.761090649639251,-0.20552203170560723,53.540000915527344,Q3
2020-04,0.2625,False,819,0.138,0.7294,0.2706,0.7595725799975623,1.4703473364989543,1.4841495426507598,0.25488887844999075,34.150001525878906,Q3
2020-05,0.6355,False,877,0.1414,0.7316,0.2684,0.11042505764903154,0.3651821934879258,0.6198885953991664,0.7595725799975623,27.510000228881836,Q4 (highest)
2020-06,1.0639,False,947,0.1415,0.7285,0.2715,0.26433331393126336,0.12610517910787888,0.5427035038956087,0.11042505764903154,30.43000030517578,Q4 (highest)
2020-07,0.6707,False,879,0.1342,0.7158,0.2842,-0.027611575558173396,0.0055871520364283445,0.2956166652677703,0.26433331393126336,24.459999084472656,Q4 (highest)
2020-08,0.034,False,832,0.1238,0.7191,0.2809,-0.08403770984228065,0.1865731937657984,0.45640565932718347,-0.027611575558173396,26.40999984741211,Q3
2020-09,0.665,False,702,0.1496,0.681,0.319,0.1290218355874564,0.3699461937629722,0.3790926982719385,-0.08403770984228065,26.3700008392334,Q4 (highest)
2020-10,0.6956,False,687,0.1499,0.6727,0.3273,0.14739934379057473,0.2884180775818377,0.3184212861008988,0.1290218355874564,38.02000045776367,Q4 (highest)
2020-11,0.4694,False,576,0.1719,0.676,0.324,0.05751508598436672,0.22740482169921972,0.04970478254282762,0.14739934379057473,20.56999969482422,Q3
2020-12,0.476,False,546,0.1832,0.6787,0.3213,0.06183158840703462,0.0066765428822008754,0.16443132544197758,0.05751508598436672,22.75,Q3
2021-01,1.041,False,533,0.1989,0.6584,0.3416,0.09306405388713457,0.023286857768537894,0.03939572086540433,0.06183158840703462,33.09000015258789,Q4 (highest)
2021-02,1.2581,False,536,0.1996,0.6469,0.3531,-0.13266135835223725,-0.14477704178347928,-0.09142744090132182,0.09306405388713457,27.950000762939453,Q4 (highest)
2021-03,0.2896,False,486,0.177,0.6421,0.3579,0.07935196986859427,0.15670851146298803,-0.06371059206034302,-0.13266135835223725,19.399999618530273,Q3
2021-04,0.4154,False,454,0.2048,0.6593,0.3407,-0.08646000230665774,0.015742274978489235,-0.2078303561130992,0.07935196986859427,18.610000610351562,Q3
2021-05,0.2854,False,448,0.2143,0.6797,0.3203,0.17309524899437312,0.06238092694963737,-0.1483631134033203,-0.08646000230665774,16.760000228881836,Q3
2021-06,1.0782,False,631,0.2013,0.7127,0.2873,-0.052186947262797934,-0.1905571726489228,-0.3318956923807094,0.17309524899437312,15.829999923706055,Q4 (highest)
2021-07,1.6712,True,721,0.1803,0.6864,0.3136,-0.04451405296134214,-0.22010763615831896,-0.4482721776876385,-0.052186947262797934,18.239999771118164,Q4 (highest)
2021-08,1.9721,True,781,0.178,0.691,0.309,-0.1062023884177512,-0.1983695631265301,-0.510309258078981,-0.04451405296134214,16.479999542236328,Q4 (highest)
2021-09,0.4339,False,614,0.1889,0.7257,0.2743,-0.08678891553311785,-0.17461210965859142,-0.48343518613284253,-0.1062023884177512,23.139999389648438,Q3
2021-10,1.4774,False,643,0.2131,0.7126,0.2874,-0.01788163000074161,-0.29255901468941325,-0.6162136006428635,-0.08678891553311785,16.260000228881836,Q4 (highest)
2021-11,1.1886,False,631,0.187,0.6841,0.3159,-0.0797134301769209,-0.3891315506545415,-0.6324654886870594,-0.01788163000074161,27.190000534057617,Q4 (highest)
2021-12,1.2545,False,602,0.1744,0.6404,0.3596,-0.21728564599539346,-0.3741550852490838,-0.6817422392189243,-0.0797134301769209,17.219999313354492,Q4 (highest)
2022-01,-0.1219,False,506,0.1502,0.6342,0.3658,-0.15195028530649346,-0.4575004737834869,-0.5885891468047746,-0.21728564599539346,24.829999923706055,Q2
2022-02,0.0264,False,558,0.1523,0.6603,0.3397,-0.057151060175931745,-0.3983409820776447,-0.6019450765658612,-0.15195028530649346,30.149999618530273,Q3
2022-03,0.0046,False,560,0.1571,0.6737,0.3263,-0.3215217441219266,-0.49147503913530877,-0.5804866184463866,-0.057151060175931745,20.559999465942383,Q3
2022-04,-0.2753,False,483,0.1615,0.6578,0.3422,-0.05947059152233847,-0.24163831798254842,-0.3349132270653693,-0.3215217441219266,33.400001525878906,Q2
2022-05,-0.1538,False,422,0.1801,0.6372,0.3628,-0.20309975261232593,-0.33840445904276595,-0.5338974868192178,-0.05947059152233847,26.190000534057617,Q2
2022-06,0.3337,False,469,0.1791,0.6298,0.3702,0.011812498771067492,-0.17503876143999564,-0.4158214949207767,-0.20309975261232593,28.709999084472656,Q3
