month,V,phi,H,entropy_gap,ps_raw,ps_zscore,high_conviction,n_structural,n_corp
2019-01,69,0.1884,0.4904,0.5096,6.6249,-3.0497,False,13,69
2019-02,176,0.1818,0.5418,0.4582,14.6618,-1.9386,False,32,176
2019-03,360,0.175,0.5703,0.4297,27.0702,-0.2231,False,63,360
2019-04,514,0.1693,0.5634,0.4366,37.9874,1.2863,False,87,514
2019-05,571,0.1926,0.6389,0.3611,39.7181,1.5256,True,110,571
2019-06,659,0.1942,0.6595,0.3405,43.5832,2.06,True,128,659
2019-07,734,0.1798,0.665,0.335,44.2167,2.1476,True,132,734
2019-08,803,0.1557,0.661,0.339,42.3767,1.8932,True,125,803
2019-09,780,0.1346,0.674,0.326,34.2349,0.7675,False,105,780
2019-10,801,0.1348,0.7105,0.2895,31.2645,0.3568,False,108,801
2019-11,884,0.1335,0.6645,0.3355,39.5895,1.5078,True,118,884
2019-12,841,0.1486,0.6643,0.3357,41.9568,1.8351,True,125,841
2020-01,851,0.1528,0.7115,0.2885,37.5041,1.2195,False,130,851
2020-02,793,0.1576,0.7467,0.2533,31.6684,0.4127,False,125,793
2020-03,835,0.1329,0.7225,0.2775,30.8023,0.2929,False,111,835
2020-04,819,0.138,0.7294,0.2706,30.5821,0.2625,False,113,819
2020-05,877,0.1414,0.7316,0.2684,33.28,0.6355,False,124,877
2020-06,947,0.1415,0.7285,0.2715,36.3786,1.0639,False,134,947
2020-07,879,0.1342,0.7158,0.2842,33.5349,0.6707,False,118,879
2020-08,832,0.1238,0.7191,0.2809,28.9293,0.034,False,103,832
2020-09,702,0.1496,0.681,0.319,33.4934,0.665,False,105,702
2020-10,687,0.1499,0.6727,0.3273,33.7151,0.6956,False,103,687
2020-11,576,0.1719,0.676,0.324,32.0786,0.4694,False,99,576
2020-12,546,0.1832,0.6787,0.3213,32.1261,0.476,False,100,546
2021-01,533,0.1989,0.6584,0.3416,36.2132,1.041,False,106,533
2021-02,536,0.1996,0.6469,0.3531,37.7831,1.2581,False,107,536
2021-03,486,0.177,0.6421,0.3579,30.778,0.2896,False,86,486
2021-04,454,0.2048,0.6593,0.3407,31.6879,0.4154,False,93,454
2021-05,448,0.2143,0.6797,0.3203,30.7479,0.2854,False,96,448
2021-06,631,0.2013,0.7127,0.2873,36.4818,1.0782,False,127,631
2021-07,721,0.1803,0.6864,0.3136,40.7716,1.6712,True,130,721
2021-08,781,0.178,0.691,0.309,42.948,1.9721,True,139,781
2021-09,614,0.1889,0.7257,0.2743,31.8221,0.4339,False,116,614
2021-10,643,0.2131,0.7126,0.2874,39.3697,1.4774,False,137,643
2021-11,631,0.187,0.6841,0.3159,37.2809,1.1886,False,118,631
2021-12,602,0.1744,0.6404,0.3596,37.7574,1.2545,False,105,602
2022-01,506,0.1502,0.6342,0.3658,27.8019,-0.1219,False,76,506
2022-02,558,0.1523,0.6603,0.3397,28.8748,0.0264,False,85,558
2022-03,560,0.1571,0.6737,0.3263,28.7167,0.0046,False,88,560
2022-04,483,0.1615,0.6578,0.3422,26.6921,-0.2753,False,78,483
2022-05,422,0.1801,0.6372,0.3628,27.5712,-0.1538,False,76,422
2022-06,469,0.1791,0.6298,0.3702,31.0974,0.3337,False,84,469
2022-07,541,0.1701,0.6441,0.3559,32.7395,0.5608,False,92,541
2022-08,498,0.1767,0.6763,0.3237,28.4832,-0.0277,False,88,498
2022-09,458,0.1703,0.6639,0.3361,26.2182,-0.3408,False,78,458
2022-10,466,0.176,0.6677,0.3323,27.247,-0.1986,False,82,466
2022-11,456,0.182,0.6109,0.3891,32.2985,0.4998,False,83,456
2022-12,441,0.1769,0.5997,0.4003,31.2238,0.3512,False,78,441
2023-01,383,0.1697,0.581,0.419,27.2363,-0.2001,False,65,383
2023-02,355,0.169,0.5906,0.4094,24.5668,-0.5692,False,60,355
2023-03,411,0.1873,0.6425,0.3575,27.5266,-0.16,False,77,411
2023-04,391,0.1969,0.6566,0.3434,26.4451,-0.3095,False,77,391
2023-05,353,0.1955,0.6511,0.3489,24.0707,-0.6377,False,69,353
2023-06,301,0.2326,0.6098,0.3902,27.3144,-0.1893,False,70,301
2023-07,279,0.2545,0.6182,0.3818,27.1112,-0.2174,False,71,279
2023-08,287,0.2125,0.62,0.38,23.1771,-0.7613,False,61,287
