name,sample_total,sample_corp,corp_rate
twilio/raspbian-deb-builder,16,16,1.0
twilio/signal-2019-notes-server,2,2,1.0
twilio/signal-2019-runtime-workshop,2,2,1.0
twilio/breakout-massive-iot,50,50,1.0
twilio/twilio-live-player-ios,28,28,1.0
twilio/twilio-verify-passkeys-ios,7,7,1.0
twilio/twilio-virtual-background-processors-ios,8,8,1.0
twilio/demo-taskrouter-event-converter,46,46,1.0
twilio/breakout-trust-onboard,50,49,0.98
twilio/scoop-twilio-cli,50,49,0.98
twilio/breakout-massive-iot-arduino,50,49,0.98
twilio/twilio-video-processors.js,50,49,0.98
twilio/homebrew-brew,50,48,0.96
twilio/twilio-voice-ios,50,48,0.96
twilio/twilio-audio-processors-ios,48,45,0.938
twilio/comms-oai,16,15,0.938
twilio/twilio-video-ios,50,46,0.92
twilio/twilio-live-interactive-audio,25,23,0.92
twilio/twilioquest-checksums,23,21,0.913
twilio/terraform-provider-twilio,50,45,0.9
twilio/twilio-oai,50,44,0.88
twilio/twilio-video.js,50,44,0.88
twilio/twilio-boost-build,46,40,0.87
twilio/twilio-video-android,6,5,0.833
twilio/twilio-live-interactive-video,50,41,0.82
twilio/video-quickstart-ios,50,41,0.82
twilio/plugin-debugger,43,35,0.814
twilio/media-streams,50,40,0.8
twilio/twilio-video-app-react,50,40,0.8
twilio/twilio-cli-test,47,37,0.787
twilio/twilio-go,50,39,0.78
twilio/twilio-taskrouter.js,50,39,0.78
twilio/twilio-python,50,39,0.78
twilio/rtc-diagnostics,50,38,0.76
twilio/twilio-video-room-monitor.js,50,38,0.76
twilio/voice-quickstart-ios,50,38,0.76
twilio/voice-intelligence-samples,16,12,0.75
twilio/cocoapod-specs,4,3,0.75
twilio/twilio-csharp,50,37,0.74
twilio/hls-frontline-pharma,50,37,0.74
twilio/twilio-sans-mono,7,5,0.714
twilio/twilio-api-documenter,7,5,0.714
twilio/twilio-php,50,35,0.7
twilio/twilio-video-app-ios,50,34,0.68
twilio/twilio.github.io,3,2,0.667
twilio/sendgrid-oai-generator,50,33,0.66
twilio/twilio-ruby,50,33,0.66
twilio/flex-plugin-builder,50,31,0.62
twilio/twilio-node,50,30,0.6
twilio/flex-webchat-ui-sample,5,3,0.6
twilio/sendgrid-oai,50,30,0.6
twilio/flex-ui-sample,12,7,0.583
twilio/twilio-voice.js,50,29,0.58
twilio/rtc-diagnostics-react-app,50,29,0.58
twilio/.github,7,4,0.571
twilio/starter-java,7,4,0.571
twilio/twilio-verify-ios,50,28,0.56
twilio/twilio-video-app-android,50,28,0.56
twilio/twilio-oai-generator,50,28,0.56
twilio/calcite-kudu,50,28,0.56
twilio/twilio-client.js,50,28,0.56
twilio/apkscale,50,28,0.56
twilio/rtd-circleci-build-publisher,18,10,0.556
twilio/twilio-verify-passkeys,50,26,0.52
twilio/twilio-verify-passkeys-web,25,13,0.52
twilio/twilio-conversations-demo-ios-swift,10,5,0.5
twilio/flex-plugin-js,4,2,0.5
twilio/voice-quickstart-server-python,6,3,0.5
twilio/twilio-java,50,24,0.48
twilio/video-quickstart-js,50,24,0.48
twilio/twilio-voice-js-reference-components,50,24,0.48
twilio/twilio-sync-sdk,23,11,0.478
twilio/azure-iot-sdk-c,50,23,0.46
twilio/sync-quickstart-android,18,8,0.444
twilio/twilio-webchat-react-app,42,18,0.429
twilio/video-quickstart-android,50,21,0.42
twilio/twilio-conversations-demo-react,50,20,0.4
twilio/twilio-voice-react-native-app,50,19,0.38
twilio/frontline-demo-service,29,11,0.379
twilio/audioswitch,50,18,0.36
twilio/twilio-cli,50,18,0.36
twilio/twilio-cli-core,50,18,0.36
twilio/twilio-voice-react-native,50,17,0.34
twilio/starter-node,9,3,0.333
twilio/twilio-conversations-demo-android-kotlin,50,16,0.32
twilio/twilio-verify-android,50,13,0.26
twilio/signal-2019-flex-notes,8,2,0.25
twilio/twilio-verify-sna-ios,24,6,0.25
twilio/voice-quickstart-server-java,9,2,0.222
twilio/twilio-video-diagnostics-react-app,50,10,0.2
twilio/autopilot-templates,50,8,0.16
twilio/twilio-flex-token-validator,50,8,0.16
twilio/twilio-sync-ios,19,3,0.158
twilio/hackathons,15,2,0.133
twilio/gameday,16,2,0.125
twilio/twilio-verify-sna-android,20,2,0.1
twilio/twilio-verify-for-react-native,50,4,0.08
twilio/conversations-ios,50,3,0.06
twilio/twilio-voice-notification-app,50,3,0.06
twilio/voice-quickstart-android,50,2,0.04
